ID_genome_file,eAUCH2O2,eAUC18C,eAUCpH,eAUCSA,eAUCGB,eAUCKCl
Algeria_1992_ALA2a,471.570246649197,406.154847615357,519.906766267377,55.9033061551395,410.417618628937,228.666299951259
Algeria_1992_ALA3a,777.157116046124,1022.50060574249,1170.56472860565,410.652119719975,NA,NA
Algeria_1992_ALG1d,93.3178494039339,142.959561584274,209.047214068755,75.8094130276693,160.394300614605,46.8391785616725
ST00ARG_BD1D1a,148.244018474267,380.596619224751,524.821817963779,127.520137304001,547.765298425804,164.334830950489
Argentina_2000_BOO10_F9a2,369.357650422791,584.801958769492,536.390038394685,211.947462287086,526.403272214615,231.3855583112
Argentina_2000_BOO12_F5a1,250.324857881306,372.111191529501,517.482823008769,123.478925771221,306.145218213139,90.8911120898118
Argentina_2000_BOO14_F15a3,485.582457647122,625.186709268945,584.254031983242,414.78014795409,761.950055931715,245.02336426914
Argentina_2000_BOO26_C1a1,328.480542761159,480.75980340261,643.442477454053,251.200384524491,489.245252835013,198.725577882551
Argentina_2000_BOO28_F15b2,266.708786625411,309.039492082162,382.26375797325,248.268090984583,318.813308882498,79.7254873511715
Argentina_2000_BOO29_E12a1,284.138164357837,330.443509839181,286.041874207059,250.355575741471,327.278960675247,139.73913602347
Argentina_2000_BOO32_B5a1,97.6104635107117,278.691833803068,159.058806393561,57.5754474600224,177.468758817373,57.9279039684377
Argentina_2000_BOO36_B4a1,341.158006850149,573.885983160194,657.596832852294,51.2095477207927,561.523285373741,137.07828135719
Argentina_2000_BOO40_A1a1,127.454763536698,165.516809934637,257.692060669173,110.990532584376,227.159599301587,32.8746348838216
Argentina_2000_BOO54_F8b1,362.646093336716,565.099140312425,615.58480291015,256.557565066444,649.050970597799,88.2318877387374
Argentina_2000_BOO59_C4a2,306.356241510896,303.261606203939,370.958476518265,140.528790203319,352.357707758968,62.7431916516151
Argentina_2000_BOO61_FI5b2p,84.1496022148453,85.3173482936553,126.629731480745,36.7504863243247,155.548664838029,52.4650098732694
Argentina_2000_BOO71_EI1a2p,257.250595487568,437.603201005085,408.494970425174,107.147646847751,349.11181233329,142.551646092636
Argentina_2000_BOO9_F15a2,503.275222366535,810.584105406048,1343.05536746387,NA,1178.99696874284,NA
Australia_1979to1991_WAC2782_3t,99.1279382449876,85.6740763393449,121.794852094648,46.6488120307113,96.9385869290213,52.1748766919784
Australia_1979to1991_WAC3438_17t,26.7041358570355,178.199394059353,255.30367489662,90.5565144746079,152.742002089852,31.695224711411
Australia_1979to1991_WAC8428_41t,146.245873317808,195.621592101667,273.029250728409,180.994694268575,255.480248571109,97.4621056320701
Australia_1979to1991_WAC8430_43t,150.919833625716,485.563544378899,356.387908942064,109.467503621384,174.416224314694,58.5727701280054
Australia_1979to1991_WAC8432_45t,161.179914252319,208.880122275879,565.454458624323,50.0374684897577,327.141052579288,53.6776389824667
Australia_1979to1991_WAC8435_48t,162.294545383992,212.15345193243,233.724204981213,180.819819387444,347.07977384686,180.35666339671
Australia_1979to1991_WAC8436_49t,183.96863006349,383.799518966988,255.964381204514,108.645348320393,242.273263339029,42.9298846373196
Australia_1979to1991_WAC8439_52t,153.807049376833,170.135382952438,303.912041597369,108.355248290795,194.160455185444,95.1707764334428
Australia_1979to1991_WAC8440_53t,253.51885970897,432.887668463217,668.59067256016294,124.659349383098,820.569924203593,116.192660250593
Australia_1979to1991_WAC8442_55t,251.095638884389,280.796461081294,494.665686171451,167.000642442528,219.094101418038,105.359827739581
Australia_1979to1991_WAC8444_57t,427.652149024062,507.745697909782,835.512744886749,112.660776649417,598.033122962353,132.633767927367
Australia_1979to1991_WAC8447_60t,94.8648738492512,356.934982325915,625.549002072062,73.1059035833343,505.669552033957,138.342656351193
Australia_1979to1991_WAC8448_61t,202.317385829178,271.668618220319,312.069655686281,51.6374979120498,332.325226370286,86.828765466703
Australia_1979to1991_WAC8449_62t,175.022243899802,156.730347906157,448.431421034236,84.1254146892922,258.219927722034,32.9868213534523
ST01AUS_1A4,108.054902326364,110.432254300362,155.108117176998,40.6394277968753,135.170367922718,64.9491046543696
ST01AUS_1A5,185.168585705506,383.829522507482,248.282031527279,112.591803376954,197.843468332218,131.905500681824
ST01AUS_1A6,102.860508954699,298.736684746249,276.490662819443,157.999174185288,206.200860037606,73.4778765955593
ST01AUS_1A9,392.062583470429,642.088045872028,908.567303017234,285.961552208928,896.95767480941,295.881448941674
ST01AUS_1B1,136.534796827017,222.163348139446,318.327762051358,53.1203769811244,154.383835667603,81.6061597412401
ST01AUS_1B7,445.467656923188,558.539559214602,580.645151415841,261.381367941662,442.432086380982,231.139423705055
ST01AUS_1B8,654.676443252186,600.445463269617,582.335732243465,475.385304838214,545.420057614469,242.889654746779
ST01AUS_1C1,129.842260327171,352.51580454683,485.821694492369,104.781226941376,169.6917359132,91.715507723479
ST01AUS_1C2,428.522577602883,613.504316234269,614.884531932083,198.454304038181,520.799679863768,115.055340650867
ST01AUS_1C3,272.725277534466,334.53430771055,617.876318386791,140.400160388536,336.13543773564,202.861093306698
ST01AUS_1C6,409.798016710014,606.363459358283,583.73224357316,266.804902773113,597.180337158763,195.803811477063
ST01AUS_1C8,159.555835986737,168.515274014786,228.625991329523,55.7485298372523,173.860701309565,60.5280783201259
