ID_genome_file,OptTemperature_oldworld,q25total_12C_oldworld,q25total_15C_oldworld,q25total_18C_oldworld,q25total_22C_oldworld,q25total_25C_oldworld,q50total_12C_oldworld,q50total_15C_oldworld,q50total_18C_oldworld,q50total_22C_oldworld,q50total_25C_oldworld,q75total_12C_oldworld,q75total_15C_oldworld,q75total_18C_oldworld,q75total_22C_oldworld,q75total_25C_oldworld,day2_12C_oldworld,day2_15C_oldworld,day2_18C_oldworld,day2_22C_oldworld,day2_25C_oldworld,day4_12C_oldworld,day4_15C_oldworld,day4_18C_oldworld,day4_22C_oldworld,day4_25C_oldworld,day6_12C_oldworld,day6_15C_oldworld,day6_18C_oldworld,day6_22C_oldworld,day6_25C_oldworld,Tempsens12C_oldworld,Tempsens15C_oldworld,Tempsens18C_oldworld,Tempsens22C_oldworld,Tempsens25C_oldworld,inflection_12C_oldworld,inflection_15C_oldworld,inflection_18C_oldworld,inflection_22C_oldworld,inflection_25C_oldworld,asymptote_12C_oldworld,asymptote_15C_oldworld,asymptote_18C_oldworld,asymptote_22C_oldworld,asymptote_25C_oldworld,growthrate_12C_oldworld,growthrate_15C_oldworld,growthrate_18C_oldworld,growthrate_22C_oldworld,growthrate_25C_oldworld,eAUC12C_oldworld,eAUC15C_oldworld,eAUC18C_oldworld,eAUC22C_oldworld,eAUC25C_oldworld
Denmark_1994_STDN94Dw6a,20.5,12.406183212799,42.6124185697512,39.6937130778295,40.6199323255042,40.3657434087626,76.772462675441,70.3305345567643,72.1909283019499,69.4814019234587,70.448312391006,98.1201953266513,101.012283074663,101.204804252661,104.932915238181,104.656059309606,0.0946336040479765,0.228521127679569,0.519223994917393,0.429397838051684,0.656519175446934,0.155572552940119,1.73370555292543,3.39673296885221,3.39081497191613,2.83658128740093,0.259421484927374,4.63609199287118,6.51040522132178,5.90674869201792,4.11706235723734,0.205633666754173,0.601128870574351,0.999528484069559,0.93800193682718,0.776241527922583,,105.650490213473,97.7442422402577,92.5518109914433,80.5724367451877,,4.93784680794452,7.05177015429882,6.10224565734165,4.13692001536041,,0.0647068124386202,0.0499771085060247,0.0525619743948945,0.0487366715429642,70.2920809863514,205.484830964766,341.670399888236,320.638683098679,265.343867115554
Denmark_1994_STDN94Ee2a,19.8,120.498522659792,19.988412914859,14.1016060203146,20.1661543946091,27.9310290225825,85.9407133478523,,,71.5767733071111,86.7250901789733,11.4157467880005,110.409903794779,107.847821679361,112.044999018921,114.838614174794,0.0898249424106894,0.119706893906953,0.237004938463839,0.592275454124815,0.377947295870865,0.152600620420303,0.523116509695547,1.30647496283345,1.36457178984199,0.572010958754733,0.0613243194688388,1.79167487983709,4.30529323144204,4.57143514521567,1.45473372211281,0.108677892444086,0.404086100393133,0.987281992963731,1.08147739237445,0.453628646890539,,187.999368656366,132.40662384689,,,,8.40401278918402,6.95394577391918,,,,0.0294369475477326,0.0403593582167253,,,19.1754581541204,71.2981815757677,174.199040086582,190.819163085748,80.0396192853585
Denmark_1994_STDN94Fw6a,20.7,13.3098799971755,38.5015407328211,34.6913096920057,34.0697410332304,26.1547555190514,63.2915320834914,65.2152700038709,64.4038412211409,64.2967119721613,66.9425027666269,106.954671557067,110.064797333147,114.496481634556,113.577254894235,113.436120448609,0.166995367515684,0.519162348489669,0.567815454418388,0.943411813996909,0.562818818858495,0.380667396372597,1.9196689374291,2.66608879075881,3.64576897792242,2.3551455977691,0.701287678224354,4.205699324587,6.42985457130843,6.66184441211092,4.78804977143465,0.126618941085662,0.601998270550226,0.849085204108039,1.08682152032019,0.725951713158383,,136.978573913743,119.821966300725,98.0139013382144,110.522862682695,,7.59964829290258,8.97173001267229,7.70841413215155,6.22762266676946,,0.0279367885275064,0.0371493101375147,0.0399129750949802,0.0351158585650673,44.9434005211307,213.679321232537,301.382842705789,385.767362006992,257.67660291366
Denmark_1994_STDN94Fw7b,19.9,26.4469682215025,35.3193623239362,34.6561353701317,32.368336836805,34.1053501022554,80.68815867634,70.3619299546772,66.9103937556269,75.0372491409038,69.2346185510511,104.975887934761,106.15992117366,112.087803307114,106.719939374243,104.827914874244,0.174988667048206,0.598907741595398,1.16321888366362,1.38708545516981,1.01724164885388,0.272422544078723,1.94088787568167,2.55831799537423,1.64183611686989,2.06450791294173,0.430159864336568,3.62853279924073,4.70602120250214,2.88094916844814,2.39630504870564,0.126509074660234,0.747814029124976,1.02980905451881,0.769169231835833,0.743502901402294,,97.40854544767,100.203564292957,107.309735200134,53.3132922589535,,4.24146064619857,5.9341129757197,4.21159929685625,2.37284951433819,,0.0407066705861242,0.0315852431144379,0.0181040452991679,0.0518493330996153,36.5271005369754,215.91714505991,297.337870578231,222.083055596383,214.672388538079
Denmark_1994_STDN94Gw8,20.0,24.2314621368046,32.8220415831915,33.3595532650863,30.4029392889698,26.9230503023649,72.9565100167369,66.4923718596385,65.4455641380557,66.2364568150285,64.2045297812632,107.935313307242,106.40176679671,103.165874043063,107.806119472098,107.599298730681,0.0927189673379013,0.403074899111656,0.425180950464304,0.502584506143624,0.437429076756689,0.135137369862663,1.12569181249348,1.49759811217172,1.31635692089305,1.13714358058188,0.186794539214612,1.74354743194277,2.1607443477703,1.75599872013586,1.39540939325806,0.110232622705712,0.759595009106842,0.951746078367624,0.852685033794914,0.726549342692946,,88.0970644622976,80.9443527797288,70.5290483417081,63.6389954569141,,1.99977605733241,2.30053879116933,1.79982742715417,1.40950633115894,,0.0342491102127631,0.0476654941389017,0.0427456859178762,0.0476630490873144,17.1856944191705,118.423814914464,148.380913616984,132.936911659275,113.271867052503
Denmark_1994_STDN94Iw9,21.9,14.0413316013181,36.8560648161033,39.0005193704696,36.9963927293847,39.2377503195968,80.3725161993927,68.5948731866089,66.3114905622901,65.0576240638594,68.748295907332,107.899072951557,101.260120797805,108.186797779193,104.561531195061,103.774292902656,0.346973379432152,0.68984423567384,0.990518749818613,0.686779012054711,1.39392125226515,0.443049911955484,1.56948076086393,2.59642241742457,1.92979451256515,2.51561264390526,0.556086552340471,2.52788578186613,4.35001641964856,2.68973992506957,2.66722543850517,0.523981355676088,0.708818394450997,1.12090140843306,0.791138282610109,1.04087755784413,,116.224993136543,110.432152957458,78.7686936537624,48.4012023321754,,3.93972857195242,6.19462961025215,2.95811815230076,2.77976009221791,,0.0214265008718837,0.0257832103594171,0.0406265934144444,0.0446114233386115,131.377049317092,177.720959259124,281.041907350499,198.36089976331,260.977648858324
Germany_1992_GEA_4b_2,20.7,37.2978252834016,40.1517578826766,39.9348609787454,40.4890174024813,38.1873200986981,74.5597556207732,74.6543561693977,73.5304683015047,73.1237476534611,72.6388167440324,103.452983298013,108.394736106299,106.290629972235,106.194040648627,106.428330340411,0.111467949373215,0.476176535129752,0.707970537077935,0.827472515866349,0.975544177176633,0.250701133899014,2.83769922224477,4.03861727504328,3.29444135020184,4.16318780622248,0.524193882748182,8.46909246319892,9.64708023595104,7.40355231041041,6.5059416622638,0.0650245978458189,0.750227748504561,0.963736460679056,0.798544049898063,0.873449092543588,,123.310666873049,116.230140181814,122.462642813935,84.4031017477399,,11.8396142993735,12.7443824088362,10.9678333815025,6.73150846110867,,0.0431880476748713,0.0392609263507035,0.0326973602338371,0.0445067955249704,30.2004200472355,348.440342370935,447.603628343163,370.880659505575,405.67001348074
Germany_1992_GEB_4a_1,21.6,29.215810689661,9.56564618076333,32.8106173997268,29.6095901301358,26.3016948980342,80.2867800628267,70.6019865073868,70.767861410561,68.8105415281491,68.4613099223795,106.26574504491,108.359809584132,108.373616554022,110.892998746016,106.136655070347,0.102762645626898,0.133870146441571,0.289539543819161,0.503057553789978,0.385654863954176,0.126986125006565,0.845047322482613,2.38477075525635,3.22417851127744,2.27716565805479,0.162196304432286,2.17436806069463,6.84451277637628,5.8517221293049,5.43105065126669,0.0546904912938565,0.323863646625063,0.942858700433758,1.06387284454793,0.825527335764326,30.1562656563728,118.00164709466,113.077819082133,94.0907203525432,119.856244715385,0.156914890097854,2.88614280765659,8.0537370996469,6.19244395128126,7.53423639055753,0.0265697816114263,0.0417225718920825,0.0531386676790778,0.0542812322723674,0.0375939419756091,16.5315296102319,97.8956549337368,285.001947426944,321.581412327545,249.53569208066
Germany_1992_GEC_2a_1,19.9,0.28729237910416,38.3987707146098,18.2132420161136,34.0957745721577,31.1922296537738,29.568700399647,67.8803697066999,67.4080611035271,66.4934096469744,66.9766345259852,110.736568583334,108.374081344197,108.273518186832,110.121372874142,107.482661977207,0.0263710541050982,0.150219240856226,0.24865137073785,0.356973076826885,0.245049774950046,0.0483378322647697,0.593783639443243,1.5128088878094,1.45848491006958,0.88848937769406,0.154770956375849,1.99673084431546,3.49734473054999,2.1618938346635,1.77340837610539,0.0485770024701397,0.501222599287977,1.05209261489343,0.893274357640548,0.606960997270345,,150.705457248297,110.677204833202,83.8479201635517,110.461287631153,,4.49374524947431,4.27381260610302,2.27426657891302,2.30637330057146,,0.034089914468617,0.0427411283360869,0.0473083603100604,0.0339959997373702,7.65361739414419,78.9708258883761,165.763919717952,140.741087628518,95.6305866985302
Germany_1992_GEE_2b_2,21.2,56.5211349026341,39.4182240040355,39.4795813084978,38.4873720534205,34.3029237373976,73.0511085570237,64.712841792022,65.9971676643131,67.2355708267715,66.8943126795266,110.275890722886,111.308632393433,113.65048307315,114.280634250842,111.219473867411,0.116724191576622,0.223267716182214,0.434866187148171,0.836602645068956,0.60116905975417,0.223768541666804,1.25970379527116,2.66647100705162,2.80478215365243,2.45549213354935,0.372688708795464,3.62015167015507,5.70708087936872,4.60644775235028,4.47016751350038,0.0929460053708716,0.502279278787083,0.950160653695718,0.976428695716552,0.844604070134677,,141.076029929899,104.686428568259,89.458954796586,100.470198340295,,6.86078438283403,6.56659113176457,5.09352664111367,5.2357042810367,,0.0346237401060258,0.0453871166282978,0.0398723145952137,0.0368678552415469,27.5873064166335,149.081526584546,282.017209819189,289.813828095598,250.68695734226
