ID_genome_file,Interceptx0C,Interceptx18C,Interceptx30C
ST01AUS_1A4,5.45905994706606,5.68158374143874,5.01887890464541
ST01AUS_1A5,5.77419499529646,6.77920081983017,5.24174719635984
ST01AUS_1A6,5.75394548296219,5.96446799829204,6.74738497987387
ST01AUS_1B1,5.86391075480572,5.76765408811604,5.60928934334475
ST01AUS_1B7,6.33174689439977,6.82896736548172,5.52112101674888
ST01AUS_1B8,6.23921559914776,8.19550378235136,NA
ST01AUS_1C1,5.03551467525509,5.27017106293146,5.33897356893058
ST01AUS_1C2,5.84792366420581,6.56752222302428,5.60414317136836
ST01AUS_1C3,NA,5.0136027854644,5.48853348597534
ST01AUS_1C6,4.12404317819381,3.89817266596958,4.72831371851898
ST01AUS_1C8,5.74847880976385,5.6211224820971,5.22331822727358
ST01AUS_1D4,6.69639118911139,5.55636948268004,5.67067953841933
ST01AUS_1D5,6.2895762542721,6.21776385173892,5.90009011571704
ST01AUS_1D8,6.47698849519609,6.35398327553927,7.26667341160129
ST01AUS_1E1,6.55489726429101,5.68387791525173,6.16156058381521
ST01AUS_1E4,3.2234646404267,3.43480710753054,6.03768625373392
ST01AUS_1E5,5.3130210994853,5.14494917745531,4.63391007004382
ST01AUS_1F2,5.2104671059364,5.896978495709,6.562243649104
ST01AUS_1F3,4.58867688749423,5.48759940152554,5.04302248937853
ST01AUS_1F8,5.159020336015,5.51464866454103,5.6302506665843
ST01AUS_1G2,5.74793748041293,6.50327165536129,5.48033697114158
ST01AUS_1G5,6.27023017703477,5.84950628062533,6.55571255798078
ST01AUS_1H2,5.1872455321381,4.55472561931463,NA
ST01AUS_1H6,5.3731854555621,6.20181007571743,5.19196321800172
ST01AUS_1H8,5.36139082351406,5.98764245588039,NA
ST92ISR_Ar_11g,7.0802214159702,5.9853517742182,6.08056731423168
ST92ISR_Ar_11i,4.92788199955417,3.721476240122,3.95676742938265
ST92ISR_Ar_12d,4.43766292519361,3.82172593074002,4.36965272439906
ST92ISR_Ar_12f,4.85142311428733,5.74615806849952,6.24267608449245
ST92ISR_Ar_15a,5.03107682132562,5.05753846090108,5.43081694568504
ST92ISR_Ar_15c,5.3794078872024,5.14516381043553,5.60973543793977
ST92ISR_Ar_16a,6.87231631874323,6.18529000886437,NA
ST92ISR_Ar_16h,5.27288722879365,4.65361734466381,5.12331475980864
ST92ISR_Ar_17d,6.99117250185676,7.07160042433343,6.65348598018315
ST92ISR_Ar_17e,5.60446813831119,5.36562526146791,NA
ST92ISR_Ar_17i,5.93811300557918,5.88468112786913,6.72348148860523
ST92ISR_Ar_18b,5.38694653381053,5.41728043482429,4.91164354100225
ST92ISR_Ar_19e,NA,3.24127267656879,4.84217264266156
ST92ISR_Ar_1b,5.18802918654692,4.84617553414019,4.52411834437831
ST92ISR_Ar_1c,3.54483544062373,5.66139854218718,NA
ST92ISR_Ar_1j,3.85141883524094,5.07731550627939,4.18346569509104
ST92ISR_Ar_21a,5.37696531665081,5.61614566169787,NA
ST92ISR_Ar_22f,6.5680462796507,6.37443100756798,5.92291228495312
ST92ISR_Ar_2f,4.75612266727026,5.0050662127085,6.29142918050631
ST92ISR_Ar_4b,5.53317416137063,6.04534902582807,5.12410171164989
ST92ISR_Ar_4e,4.68279575010932,4.06061225298022,4.29975216091723
ST92ISR_Ar_4f,5.19271479903942,5.45304136138889,5.60533055356165
ST92ISR_Ar_5a,6.1809255455891,6.04039689293113,NA
ST92ISR_Ar_5g,3.86571991659002,4.30765535854723,3.37848721875571
ST90ORE_a12_3B_11,3.88446923755263,3.99390259539492,3.39302540400641
ST90ORE_a12_3B_15,4.48236611794442,3.86978119292582,3.92434171435958
ST90ORE_a12_3B_17,6.30806850219678,5.51990140796142,NA
ST90ORE_a12_3B_18,5.74335980399358,6.64731912255039,6.75946346155062
ST90ORE_a12_3B_19,6.74391995469295,5.82037913323561,NA
ST90ORE_a12_3B_2,5.29320882899402,4.1822701668614,4.32744712471947
ST90ORE_a12_3B_21,5.31385036110457,4.79935196403239,5.6928106074434
ST90ORE_a12_3B_3,5.47386097899821,6.36761461073455,6.1634682115237
ST90ORE_a12_3B_4,4.32231829621163,4.7453761823652,NA
ST90ORE_a12_3B_5,6.58894607008909,6.64696931226314,6.5679252661493
ST90ORE_a12_3B_6,5.8550206931605,6.44727975423266,5.76763074293497
ST90ORE_a12_3B_7,4.24267419618495,5.73504152170264,4.64109914711924
ST90ORE_a12_3B_8,6.83005517105807,6.51871515816563,6.34706460093736
ST90ORE_a12_3B_9,5.03640177809072,4.70629991683237,NA
ST90ORE_a12_4A_1,2.9280639613687,3.36433323955446,3.69517163900499
ST90ORE_a12_4A_10,6.70002896692856,6.35768638532177,6.53585872680281
ST90ORE_a12_4A_11,5.24086339256385,4.11701592195068,5.30955128548259
ST90ORE_a12_4A_2,6.2345324892649,6.07107965094216,5.42268484182502
ST90ORE_a12_4A_4,5.38239223048015,6.47257149312287,5.5028413005287
ST90ORE_a12_4A_5,5.56449485304673,5.89311210280382,6.15047522185927
ST90ORE_a12_4A_6,6.05832527950768,5.93160890682485,5.32493435748809
ST90ORE_a12_4A_7,4.85865217009431,5.23689928676736,5.14783478396403
ST90ORE_a15_2A_11,6.03037162810346,6.47553264157857,5.61918862795196
ST90ORE_a15_2A_13,5.32880547906169,4.90547249473831,4.16265503449927
ST90ORE_a15_2A_16,5.65772900004181,5.84116319179737,6.80715451137073
ST90ORE_a15_2A_20,5.49493646468728,NA,NA
ST90ORE_a15_2A_6,5.10684291805532,6.49815212986404,6.16815898085408
ST90ORE_a15_2A_8,5.68245933288184,4.09559264182408,4.22783787164239
ST90ORE_a15_3B_1,5.87320660904322,NA,NA
ST90ORE_a15_3B_19,6.14329959787561,6.15678448840064,6.23580528054365
ST90ORE_a15_3B_4,5.08174383086442,5.4858800445551,6.01254659676783
ST90ORE_a15_3B_5,6.81050925004813,6.06310540682845,5.10577202577313
ST90ORE_a15_3B_6,5.6419069286098,5.14546440908338,5.57868690021885
ST90ORE_a15_3B_9,5.82796038435955,5.01565048875833,4.61034635831937
ST90ORE_a15_4A_10,5.71953051406719,5.02523904998262,3.76233897505521
ST90ORE_a15_4A_11,6.29659861086082,5.86984647486564,6.16905744748579
ST90ORE_a15_4A_13,5.57964053356177,4.23635603196543,NA
ST90ORE_a15_4A_15,5.23106444422143,4.57486272329494,NA
ST90ORE_a15_4A_17,6.28717682907822,4.54904042323364,5.59756272088792
ST90ORE_a15_4A_19,6.16675828388301,5.63812316885024,5.02167950167501
ST90ORE_a15_4A_2,5.81275160844084,5.37028307656727,5.24560279747697
