ID_genome_file,Mean_grey0C_08dpi,Mean_grey0C_12dpi,Mean_grey0C_15dpi,Mean_grey0C_19dpi,Mean_grey18C_08dpi,Mean_grey18C_12dpi,Mean_grey18C_15dpi,Mean_grey18C_19dpi,Mean_grey30C_08dpi,Mean_grey30C_12dpi,Mean_grey30C_15dpi,Mean_grey30C_19dpi,Radius0C_08dpi,Radius0C_12dpi,Radius0C_15dpi,Radius0C_19dpi,Radius18C_08dpi,Radius18C_12dpi,Radius18C_15dpi,Radius18C_19dpi,Radius30C_08dpi,Radius30C_12dpi,Radius30C_15dpi,Radius30C_19dpi,Ratio0C,Ratio18C,Ratio30C,SporespermL0C,SporespermL18C,SporespermL30C,GrowthRate0C,GrowthRate18C,GrowthRate30C,Std_grey0C_08dpi,Std_grey0C_12dpi,Std_grey0C_15dpi,Std_grey0C_19dpi,Std_grey18C_08dpi,Std_grey18C_12dpi,Std_grey18C_15dpi,Std_grey18C_19dpi,Std_grey30C_08dpi,Std_grey30C_12dpi,Std_grey30C_15dpi,Std_grey30C_19dpi,Interceptx0C,Interceptx18C,Interceptx30C,Max_grey0C_08dpi,Max_grey0C_12dpi,Max_grey0C_15dpi,Max_grey0C_19dpi,Max_grey18C_08dpi,Max_grey18C_12dpi,Max_grey18C_15dpi,Max_grey18C_19dpi,Max_grey30C_08dpi,Max_grey30C_12dpi,Max_grey30C_15dpi,Max_grey30C_19dpi
ST01AUS_1C3,125.140571428571,112.184375,101.086875,89.1955714285714,119.6389,104.718266666667,96.85592,87.9004285714286,118.421916666667,111.309428571429,102.742,92.9542307692308,0.70608750250756,1.99860318907802,2.89108998369621,4.42939302088382,0.609299293487207,1.65858114629108,2.39079937376605,3.20871476572302,0.830345529788063,2.01794978475934,2.88599737983483,3.93955660240169,0.068,0.646792452830189,0.119622641509434,284694.375,528635.0,373749.875,0.239640556981508,0.251275748950018,0.252015450817342,9.49485714285714,23.705125,21.99875,18.9507142857143,9.53356666666667,19.0430333333333,20.6168,18.8634285714286,12.4135,24.8156428571429,23.1663571428571,20.2727692307692,4.74518457720701,4.18315793686554,4.73216985422873,157.571428571429,175.75,168.75,158.857142857143,142.333333333333,157.966666666667,160.92,179.666666666667,144.75,167.142857142857,162.0,163.461538461538
ST01AUS_1C6,126.801648648649,103.743027027027,97.3206176470588,94.945875,124.004171428571,103.065545454545,88.7386451612903,75.0538387096774,122.580490566038,100.65341509434,91.8558163265306,89.8557826086956,0.72648039009306,1.88577875234561,2.42772869198037,3.10616209352836,0.716044167740573,1.87493115836084,2.40147224771067,3.17259636547543,0.716988688707135,1.83347034057591,2.32779895470228,3.0284611273735,0.314571428571429,0.464,0.388955223880597,244525.75,483275.625,194465.375,0.208386609910293,0.212527959891611,0.235179781847615,9.6582972972973,21.0270540540541,21.8177058823529,23.409875,11.0855428571429,24.5556060606061,24.2122580645161,22.2357096774194,12.0004716981132,20.6156603773585,20.5049591836735,24.409347826087,4.03231332017784,3.75489836262962,4.15253070746879,153.243243243243,155.432432432432,160.294117647059,160.09375,156.485714285714,155.0,152.645161290323,151.0,153.566037735849,152.320754716981,153.571428571429,159.630434782609
ST01AUS_1C8,152.628375,144.945435483871,128.73075,90.317347826087,152.114339622641,141.968745098039,118.378320754717,86.5643673469388,151.625023529412,145.798084210526,123.00678125,84.504329787234,0.41742569695784,1.22468276478707,1.76849921770923,2.68026703899165,0.445762068969893,1.15799409369035,1.75797080210402,2.55979331493523,0.433452753952977,1.31678476258725,2.05542601035716,2.7229126808803,0.49010752688172,0.708349514563107,0.643243243243243,954861.0,1567676.625,960286.375,0.203516295653289,0.200930215649057,0.194147094143263,3.9014375,7.2791935483871,16.6778214285714,17.6152173913043,4.34084905660377,7.67513725490196,18.3094716981132,17.8317755102041,4.56584705882353,7.12794736842105,16.2404895833333,15.8544255319149,5.67364187312571,5.5554493915415,4.94187559096784,172.328125,182.467741935484,176.964285714286,149.826086956522,175.150943396226,175.666666666667,168.245283018868,155.979591836735,179.129411764706,185.621052631579,175.1875,145.925531914894
ST01AUS_1D4,143.2018,144.499,131.314,113.39225,139.56624,145.089769230769,130.089076923077,107.699181818182,143.26419047619,142.510818181818,127.193761904762,101.899523809524,0.426462135930607,1.34105772259228,2.06194394981868,3.08117749456313,0.513893929625803,1.46113493578041,2.28705509015975,3.33546728185363,0.557189022975895,1.44067618996729,2.17335108391454,3.0291482583921,0.0317647058823529,0.362424242424242,0.163529411764706,235322.75,397467.25,339346.875,0.250399317389458,0.224014461671086,0.221070600645001,4.0428,10.341,22.36,20.895,4.1698,11.2751153846154,20.8770384615385,21.6867727272727,4.0942380952381,11.2780454545455,20.8977142857143,19.8713333333333,6.69639118911139,5.39690734203909,5.44765107173753,162.4,184.5,189.0,175.0,160.96,178.538461538462,179.384615384615,171.0,164.142857142857,181.545454545455,185.904761904762,174.095238095238
ST01AUS_1D5,151.945181818182,145.118454545455,102.627090909091,97.7961666666667,157.695692307692,152.624857142857,108.827928571429,92.4388571428571,155.883884615385,150.929481481481,108.025925925926,91.6836666666667,0.458455415742876,1.17748925425505,1.84563433158668,2.94322304674277,0.450597361309723,1.18027564686113,1.80043585238417,2.8089433677821,0.48898546372037,1.17939734819005,1.81759102140035,2.8286534932953,0.084,0.197090909090909,0.183364485981308,46659.175,88615.875,36169.875,0.233058708560802,0.21810345776525,0.208688804215752,6.10036363636364,8.471,18.0529090909091,21.94425,4.10838461538462,6.37535714285714,22.5559285714286,24.1434285714286,4.66553846153846,7.00103703703704,17.8590740740741,20.6833703703704,6.31851737436717,6.12792383323237,5.81023132740781,187.909090909091,192.909090909091,198.181818181818,180.083333333333,180.769230769231,186.785714285714,164.642857142857,176.0,184.846153846154,189.333333333333,165.296296296296,174.740740740741
ST01AUS_1D8,153.713444444444,149.321696969697,153.110034482759,131.971633333333,156.092142857143,153.67825,151.8825,138.340214285714,155.962,155.78075,153.471333333333,147.072,0.378618494418371,1.04741423448749,1.48840657251496,2.25319677178696,0.409970866245283,0.998286677364723,1.5425322526409,2.35865779518365,0.440142097790816,1.11681573100065,1.86536345060784,3.04304647123391,0.210909090909091,0.355102040816327,0.03,704551.875,1394501.5,1190072.25,0.21481744721624,0.18222092083098,0.240619520441541,6.19811111111111,7.8469696969697,6.69548275862069,14.1593666666667,5.84471428571429,6.12928571428571,6.60907142857143,13.77575,6.0765,7.19575,5.78766666666667,12.329,6.61057515638334,6.29598569040824,7.26667341160129,192.333333333333,178.090909090909,188.965517241379,181.066666666667,194.5,185.107142857143,185.107142857143,185.428571428571,201.5,201.25,193.666666666667,215.0
ST01AUS_1E1,156.568342857143,156.3888,131.319290322581,102.078275862069,156.215076923077,155.917932432432,131.9459,99.8296764705882,152.951,156.408,148.29625,126.021,0.505848865939616,1.29448828482236,2.13389213823738,3.14200107273893,0.549666952019275,1.3375861312237,2.07614720974942,2.98191639025612,0.398140385507897,0.938777321485122,1.39782399538573,2.26906685940971,0.225230769230769,1.03365517241379,0.0384615384615385,373079.0,545800.875,766884.75,0.257577879634673,0.230917259899095,0.200237901522664,6.22765714285714,6.60645714285714,25.3758709677419,35.0888275862069,6.80519230769231,6.42310810810811,20.3729571428571,24.7461470588235,4.829,7.13133333333333,12.80425,26.533,6.43285404669438,5.69626682230005,6.16156058381521,205.514285714286,199.685714285714,200.612903225806,204.379310344828,208.217948717949,198.554054054054,194.928571428571,176.382352941176,186.5,206.333333333333,192.0,191.5
ST01AUS_1E4,147.261032608696,141.304406593407,109.636735632184,96.5837407407407,144.6515,143.567084337349,112.541717948718,115.659563380282,151.213344827586,149.895384615385,122.613307692308,99.2046818181818,0.681980777875437,1.49097592638812,1.9908406289769,2.50526083284077,0.733807538477886,1.60350719820779,2.07294251274691,2.67674801257994,0.659196254494665,1.70491319497437,2.38856866537526,3.62603752238785,0.638233618233618,1.05898734177215,0.175339805825243,607980.75,614889.75,528528.88,0.152768051856747,0.172963926132162,0.283396313258273,4.6408152173913,8.4526043956044,16.2634712643678,15.0314444444444,5.56227380952381,8.03492771084337,13.721641025641,15.3431267605634,3.76231034482759,6.60134615384615,21.0549615384615,26.1339545454545,1.82446952690596,2.98388438503264,6.03198834681211,174.880434782609,174.043956043956,161.413793103448,159.0,174.904761904762,181.987951807229,158.602564102564,164.253521126761,170.758620689655,182.653846153846,173.269230769231,173.045454545455
ST01AUS_1E5,126.932723404255,92.2649607843137,87.7636666666667,80.8595263157895,121.87726984127,98.024703125,86.1175625,72.9681063829787,125.367754385965,93.1038793103448,86.3689811320755,78.3388846153846,0.677539158699465,2.03214876849137,2.7957157603664,3.66408736397841,0.834202043167187,1.97581905879086,2.51720375371816,3.22788577635334,0.807020615048662,2.13487695350054,2.80764706409839,3.54646469657773,0.189060773480663,0.650756302521008,0.196909090909091,216748.971685083,397222.175945378,248890.002272727,0.29107553784899,0.206737835465266,0.24630282891649,10.3021063829787,23.512137254902,24.3718888888889,20.3259473684211,13.5708571428571,23.90971875,20.4786875,18.6185106382979,11.2038596491228,24.3008448275862,23.538641509434,19.9339615384615,4.98337558807204,2.0053388079335,2.43230741884062,153.957446808511,154.274509803922,156.755555555556,166.368421052632,152.920634920635,145.390625,150.625,156.255319148936,151.175438596491,156.948275862069,150.056603773585,150.557692307692
ST01AUS_1F2,137.491041666667,135.771913043478,117.4555,117.990095238095,137.53744,138.97964,119.725291666667,123.471590909091,137.819,138.112428571429,119.913894736842,119.580117647059,0.658477845804888,1.63444580533585,2.27652379401772,3.36158023739279,0.610123337415562,1.64943562830592,2.35806236374412,3.68682617737787,0.616224432548617,1.5799860743666,2.36026284026816,3.58811726844325,0.180444444444444,0.341666666666667,0.136266666666667,160221.625,333334.875,95764.5,0.226948213245799,0.273640502842596,0.308341783637185,6.08854166666667,12.6307826086957,15.1017727272727,17.3320952380952,5.69408,12.03404,15.9657916666667,17.0180909090909,6.50222222222222,12.8011904761905,15.0743157894737,16.9488823529412,5.06412593934626,5.8465259171825,6.07003553110587,159.708333333333,176.217391304348,161.136363636364,162.0,160.72,184.72,169.958333333333,165.090909090909,163.277777777778,181.380952380952,166.789473684211,159.176470588235
