ID_genome_file,slope_0C,slope_30C,slope_18C,compslope_0C,compslope_30C
ST01AUS_1A4,0.354488316273651,0.30652967380077,0.38050466736045,0.904749083458527,0.80658842686179
ST01AUS_1A5,0.196022769954069,0.170778360887321,0.254176772394489,0.862060371574863,NA
ST01AUS_1A6,0.204798681128556,0.197244890122684,0.192474478576506,1.06445726691959,0.969689860251148
ST01AUS_1B1,0.165957959074835,0.156446660011664,0.172598664105627,0.983417184689627,0.887648183885285
ST01AUS_1B7,0.178004100825253,0.169118220142817,0.17863966811705,1.00430559332187,0.96805270886888
ST01AUS_1B8,0.269958781344326,NA,0.442769347858588,0.611564469496402,NA
ST01AUS_1C1,0.202356719559773,0.226609305114853,0.215010119280294,0.960996597335614,1.09098419027757
ST01AUS_1C2,0.17860893870026,0.345339490752068,0.214788310649161,NA,NA
ST01AUS_1C3,NA,0.274236496397629,0.283746014465279,NA,1.25198559292763
ST01AUS_1C6,0.21925600523271,0.251079961766692,0.220766406858777,0.966558897596369,1.13581692924129
ST01AUS_1C8,0.208699962158308,0.213163830561415,0.206720393694088,1.00664020817268,1.0476236325985
ST01AUS_1D4,0.250399317389458,0.23084154013468,0.234908396584398,1.03575827150976,1.02119754482935
ST01AUS_1D5,0.236594517911543,0.207036280452245,0.224502722904961,1.12564037413064,0.878731892237259
ST01AUS_1D8,0.208889723997143,0.240619520441541,0.180848661983016,1.1585808680829,1.31059817057907
ST01AUS_1E1,0.264691540025548,0.200237901522664,0.230092186196278,1.158342081658,0.923635959988011
ST01AUS_1E4,0.169503469581013,0.258573353654342,0.182148815320183,0.946534865315354,1.41075924435734
ST01AUS_1E5,0.339891231557426,0.32190434772596,0.246996980163965,1.38126451138296,1.33649791286707
ST01AUS_1F2,0.229145188243305,0.322732475220167,0.27389790677313,0.836522455707629,1.17737686154215
ST01AUS_1F3,0.160335567152919,0.172846495263519,0.192858612135463,0.845781989424865,0.924302506293609
ST01AUS_1F8,0.142424054792897,0.146491539903311,0.158427770953876,0.909136516961024,0.944836005816905
ST01AUS_1G2,0.225293426909636,0.251745366670001,0.283400620950334,0.803651961507764,0.902613082053071
ST01AUS_1G5,0.269854945682955,0.282909057922531,0.237580749556964,1.11988602559326,1.18753481645053
ST01AUS_1H2,0.311925053637554,NA,0.251697584400547,1.207330786761,NA
ST01AUS_1H6,0.165044752993654,0.173322641958914,0.194996952893046,0.862460056185742,0.900049046485286
ST01AUS_1H8,0.184559590748616,NA,0.18859591984698,1.01710679041795,NA
ST92ISR_Ar_11g,0.24606118421445,0.176631340153656,0.234284736711366,1.04904814669221,0.72486831220079
ST92ISR_Ar_11i,0.217757760761185,0.188606801430636,0.179087869234625,1.17581187661542,1.07030637151077
ST92ISR_Ar_12d,0.170341070643804,0.167223249352096,0.160646757091042,1.065570862994,1.04475286320654
ST92ISR_Ar_12f,0.245729350008297,0.299707231184946,0.26328076867385,0.910141613088582,0.966173562998834
ST92ISR_Ar_15a,0.277430744178748,0.358307565822899,0.290772821907615,0.967366793410495,1.4472928224067
ST92ISR_Ar_15c,0.252063590988265,0.359721066286118,0.386625683554372,0.795558738401092,1.21474649711922
ST92ISR_Ar_16a,0.312920319846717,NA,0.294781975129924,0.933694172495583,NA
ST92ISR_Ar_16h,0.327231863677145,0.328880365853185,0.280715043079099,1.1805309021862,1.16178605842884
ST92ISR_Ar_17d,0.464676882710043,0.437139851009804,0.442988105271983,0.872902711225099,1.04352523519399
ST92ISR_Ar_17e,0.347348856194018,NA,0.350311576918303,1.01969123343063,NA
ST92ISR_Ar_17i,0.260954957992039,0.418817014337096,0.38232668361523,0.697005617431669,1.39949357481865
ST92ISR_Ar_18b,0.275922908591797,0.207582966017866,0.244728899270392,1.21914442158146,0.884051271968118
ST92ISR_Ar_19e,NA,0.201685953105354,0.140336069397454,NA,1.44010833549861
ST92ISR_Ar_1b,0.219526784099398,0.215271432591831,0.211256867324469,1.25083939585851,1.02872325031678
ST92ISR_Ar_1c,0.170097966939636,NA,0.243474904006414,0.706837918457598,NA
ST92ISR_Ar_1j,0.258548122631093,0.355537778822402,0.318924297729694,0.819672520934402,1.18061418608032
ST92ISR_Ar_21a,0.227371260715512,NA,0.278633583370659,0.738530490558151,NA
ST92ISR_Ar_22f,0.180559877893615,0.155671100231446,0.165683228395168,1.08871564960406,0.940018922683199
ST92ISR_Ar_2f,0.263143804730419,0.361537538424232,0.299162188965454,0.939603371412657,1.34591684931382
ST92ISR_Ar_4b,0.195469866978118,0.169420752302727,0.230474581654585,0.898012331114619,0.735095172259123
ST92ISR_Ar_4e,0.224842484032179,0.230382807499657,0.216668609249476,1.00530283071683,1.06578216040025
ST92ISR_Ar_4f,0.268031875201799,0.27728771810165,0.260437403804981,1.06345785597335,1.13213973637529
ST92ISR_Ar_5a,0.181048423648943,NA,0.171454853778354,1.0925760290382,NA
ST92ISR_Ar_5g,0.260275957861127,0.270459663875725,0.28659821681385,0.951264596391374,0.878495976278209
ST90ORE_a12_3B_11,0.144823673112711,0.136056112114573,0.155467929234774,0.939415208881,0.881360011531077
ST90ORE_a12_3B_15,0.263667376612155,0.230724799089571,0.205882776810035,1.16266968650503,1.11436113591235
ST90ORE_a12_3B_17,0.286734674639682,NA,0.258515084863863,0.983888333068003,NA
ST90ORE_a12_3B_18,0.329252930496071,0.390652569050209,0.374736868873072,0.856751505535362,NA
ST90ORE_a12_3B_19,0.233522202373285,NA,0.21143811874986,1.17197331353933,NA
ST90ORE_a12_3B_2,0.239544912449084,0.220555114491622,0.200719230961655,1.32967112270916,1.29707167990866
ST90ORE_a12_3B_21,0.213175940125011,0.225779160448971,0.173856057659549,1.23280713524632,1.30364690518652
ST90ORE_a12_3B_3,0.206539490118869,0.242011434666661,0.240305969236901,0.912140248789554,1.06829020372354
ST90ORE_a12_3B_4,0.175759032762505,NA,0.225817849577424,0.793807900635242,NA
ST90ORE_a12_3B_5,0.278591226212961,0.313218201831337,0.306224415454986,0.910194767092911,1.02272371538416
ST90ORE_a12_3B_6,0.408439476691735,0.372739284307124,0.46386262820841,0.873373070034969,0.809108676149913
ST90ORE_a12_3B_7,0.18890120597506,0.195780718476075,0.233667981999512,0.81374699932713,0.788427344022144
ST90ORE_a12_3B_8,0.406701549224908,0.302603046714441,0.358611458824454,1.13895509573647,0.847133543536713
ST90ORE_a12_3B_9,0.204214441161618,NA,0.194679913237554,1.0507148072117,NA
ST90ORE_a12_4A_1,0.150294661544426,0.176871798129858,0.151841169008039,0.99191198457033,1.17490321353485
ST90ORE_a12_4A_10,0.396385976694204,0.337074276635132,0.345006071797776,1.15374485104982,0.978999122457606
ST90ORE_a12_4A_11,0.186178720149323,0.217815970425539,0.173445395474862,1.0816055981876,1.26468547370648
ST90ORE_a12_4A_2,0.406360734262585,0.337703254800244,0.390690207220767,1.10085574893663,0.883080700236186
