ID_genome_file,OptTemperature_Americas,q25total_12C_Americas,q25total_15C_Americas,q25total_18C_Americas,q25total_22C_Americas,q25total_25C_Americas,q50total_12C_Americas,q50total_15C_Americas,q50total_18C_Americas,q50total_22C_Americas,q50total_25C_Americas,q75total_12C_Americas,q75total_15C_Americas,q75total_18C_Americas,q75total_22C_Americas,q75total_25C_Americas,day2_12C_Americas,day2_15C_Americas,day2_18C_Americas,day2_22C_Americas,day2_25C_Americas,day4_12C_Americas,day4_15C_Americas,day4_18C_Americas,day4_22C_Americas,day4_25C_Americas,day6_12C_Americas,day6_15C_Americas,day6_18C_Americas,day6_22C_Americas,day6_25C_Americas,Tempsens12C_Americas,Tempsens15C_Americas,Tempsens18C_Americas,Tempsens22C_Americas,Tempsens25C_Americas,inflection_12C_Americas,inflection_15C_Americas,inflection_18C_Americas,inflection_22C_Americas,inflection_25C_Americas,asymptote_12C_Americas,asymptote_15C_Americas,asymptote_18C_Americas,asymptote_22C_Americas,asymptote_25C_Americas,growthrate_12C_Americas,growthrate_15C_Americas,growthrate_18C_Americas,growthrate_22C_Americas,growthrate_25C_Americas,eAUC12C_Americas,eAUC15C_Americas,eAUC18C_Americas,eAUC22C_Americas,eAUC25C_Americas
Argentina_2000_BOO10_F9a2,19.5,41.0218264412372,37.6042548226724,34.9968551477895,35.9075319452393,34.878081714068,63.0501248735139,63.2118801906388,67.5236197502439,76.4270112254608,69.0940140146825,108.070105349957,99.8404913189547,101.480138692017,114.479754457395,102.203339832439,0.116460785772893,0.834566075528901,1.70157249576979,1.73649199687323,1.52706873071594,0.21229369610743,3.36694756703944,5.12150251871401,3.34801744348906,2.74735692503239,0.363896045856589,5.40543416833252,9.30402910906048,4.89630512478779,3.63229801343145,0.0520305808492691,0.659092337722502,1.10092238882429,0.712991768232524,0.579888309321972,,89.3283362624667,98.877926622828,72.7811078578588,58.1863175573325,,5.86688355315351,11.0069415589815,5.08034510622212,3.49807275170634,,0.0433713723823118,0.0330338664242016,0.0363958556784269,0.0425169298965503,26.4303386627675,334.803752172326,559.243258543358,362.183423489799,294.569926988903
Argentina_2000_BOO14_F15a3,23.4,30.285731102753,33.4346429859407,36.2395105655302,34.3220566672562,34.8463752511965,67.7635217377575,69.6219214758331,69.6892388731124,68.2310315174004,68.7609278362,108.778194037107,105.614930707343,101.350259668944,,108.476233078095,0.350652917294461,1.01208147372522,1.46061917261643,2.72825505717201,2.37474213796462,1.04944799060491,3.50387989502061,4.94734445836992,5.84768735577252,6.30387590246713,2.04684530109672,8.0317289157444,8.30240927564774,6.32510285507727,7.76267598271438,0.292665745395593,0.666209480671192,0.846329834971847,0.947636883362172,1.00942344917369,108.977049523639,120.01605958815,90.2757820966893,54.4993790584851,64.3360295626609,2.70024603203556,11.5337672761958,9.14782629998677,6.43596687322704,7.69240931221658,0.0334050356602143,0.033419806202011,0.0404112831064927,0.0608423943974044,0.0526915070217158,177.614361451445,404.312337073713,513.624623246035,575.106320347472,612.603641457113
Argentina_2000_BOO28_F15b2,20.5,41.1126750202565,26.1167394503764,39.1771485846836,34.6237327194435,34.6190439736652,61.9163319097199,67.7735864501905,72.8292746224462,,70.4619545108534,106.200673643436,102.130057039959,98.8225133612971,,105.677768755511,0.0593692790528101,0.287296898309387,0.781228171792402,1.33653022144478,1.60199948023704,0.196428818103385,2.66299045866103,2.82556465525195,2.62134468896921,2.62256838301044,0.641310763043561,5.42423505668675,5.51160556634852,2.03577357751939,3.12187170199311,0.0909511923325742,0.843702643601354,0.954839072780423,0.760623611585057,0.880563667928432,,101.251368032214,112.38293285586,44.3692549083108,45.68070926404,,6.02475021279091,7.47499040921686,2.42198122238377,2.94975925304145,,0.0479465881534623,0.0310806803824251,0.094606413158691,0.0506948351752689,29.4451615608294,273.146068930019,309.126137234185,246.249494434414,285.079709257016
Argentina_2000_BOO29_E12a1,20.9,40.3369179635017,35.0080029827309,35.9757145061065,35.2237667721967,34.4387846832656,4.94843202583125,62.6213104718911,64.0385580402815,65.7863662359625,66.1135095891655,110.04446342771,101.415967823236,109.259523419094,109.779870859011,109.934856436557,0.112042259562201,0.375598308697526,0.732208379369112,1.83305492458375,1.4126123830779,0.165176974600284,1.84779758071699,3.18023229095807,4.1616323902623,2.75188735089015,0.32663817428455,4.72717893170817,5.72968909851004,5.32334433775931,3.46919979264732,0.0613883349751609,0.544186216953674,0.852429488791492,1.08179361587549,0.744968185829914,,146.321731383533,95.8963836739212,63.2420099591741,58.0481256482883,,9.710616787001,6.44260417125126,5.24684897717198,3.41149955307333,,0.0303554687808342,0.0432804880136328,0.0478838953794685,0.0442511351191405,23.8037277395481,211.011759045448,330.535100464364,419.472538440745,288.866278541282
Argentina_2000_BOO35_D4a1,22.7,21.8030549758283,28.3159588987265,13.1926027212794,5.52823488639113,15.5334993437182,110.529525158562,65.6158398467825,65.2687396011143,65.7770156422895,63.8473327093466,137.157968251657,107.714391301466,107.098768691103,107.607821016179,106.876802303992,0.186328068492046,0.352325907152838,0.389031204154141,0.439097844916155,0.489124553218395,0.185286583722186,0.739495567692711,0.99763096607027,1.21314724350564,1.23644749418214,0.213388429826918,1.17050908025915,1.90034469913387,1.8310910393373,1.84147854378471,,,,0.952440773978395,,,126.516743439007,136.380194065376,87.7600592990997,87.7984994377749,,2.03820841658635,3.51031497709296,2.13792343541146,2.20107416784509,,0.0188386079081878,0.0229597921537,0.031878814802901,0.0289280860885382,28.2853244067717,85.8531829169007,115.312387905758,127.992102392634,132.62489388328
Argentina_2000_BOO36_B4a1,20.5,43.4052795797926,33.7961127876543,38.8206624005739,35.9878381085118,36.3925732427575,42.1377131906014,65.9657235448167,64.5137210319283,65.4520315967256,65.8849840705279,113.845492395473,112.010901971871,110.66836949229,113.645268099077,116.711973815006,0.160246124336017,0.471706129903439,0.515612731372286,0.919923422233294,0.774125196291708,0.2009702573204,2.45470593646143,3.9585197281029,3.90951776285964,3.41427560316493,0.356813933836166,6.84809798611281,9.19170499721302,8.61643362405916,6.93974208742686,0.318142797253205,0.672311170782738,0.970894994575806,0.970996341317129,0.807552544853241,,116.628229632722,107.375313004496,111.422994689758,107.477259293721,,8.73871602224946,10.6192001467064,10.9584068631016,8.53233477032965,,0.0456397844333766,0.0484293507737079,0.0391031727506727,0.0384974536905203,141.343200137693,298.691698153144,431.345316366831,431.390342288731,358.77619092552
Argentina_2000_BOO40_A1a1,19.5,,,,5.11422742794878,16.5563387877654,49.4153287713559,,58.0012179984427,,65.9129429723143,33.1628359238502,104.178538516648,107.37487271289,107.345225688748,106.359570099952,0.130486162110579,0.0987003728469916,0.21602340758246,0.135085326977135,0.161443357517999,0.0965967448947679,0.400660851923186,1.305498891331,0.738443943184268,0.630606841006925,0.109304114162723,2.60557054266102,3.82894974441386,2.56477441298879,1.85174701339004,0.138031381508965,0.553961599113809,1.20018182380446,0.701388046413529,0.597041324897588,,,111.513700861787,163.877924232323,144.423373610929,,,4.37329057122709,7.57162639979776,3.7312590995789,,,0.0558658532768024,0.0335005740473486,0.0322001433891858,19.042713350847,76.4241567676836,165.576249326467,96.7630068579437,82.3674057619735
Argentina_2000_BOO54_F8b1,19.1,36.0056995554226,42.9394474857702,39.8353445264547,40.69490947512,41.2001682617177,69.8663284761593,69.9066889018047,69.6900189737962,71.2361664780929,71.1713565925288,108.039821394821,105.853728459163,106.687314280551,106.355455080342,107.692501576877,0.068456705693653,0.253940987095473,0.599593027200709,0.685621564969182,0.718927530743289,0.178239355391431,3.71449250823278,5.74628457003423,2.87130178999315,2.52869594346259,0.403642799576167,9.47288132053395,9.20641104334822,5.76491653664215,4.95829111062431,0.0705542434009293,0.840733591586352,1.0711253976554,0.610251580610206,0.548739483277128,175.992171884851,104.642594850305,87.3765936053561,105.44447289372,107.922389061528,1.22926468341327,10.0341296453044,9.30626312962659,6.96099363840297,6.31283918000766,0.022481417896361,0.0651901897507427,0.0625168807239978,0.0387035490812767,0.0344725639178512,34.9312840396513,416.245748997604,530.312334227261,302.134503474252,271.67997033432
Argentina_2000_BOO59_C4a2,21.2,37.8264069584759,41.2535919179799,40.5445148573702,39.4171852931372,39.6123356843464,79.301310637612,71.3352119272596,72.7215152336873,72.1697610118199,73.4434913352424,98.4156715904267,102.393758366904,101.657899113006,103.651817400845,103.720860981523,0.120251420205086,0.356206649702558,0.652666709574455,0.827221808123421,0.991764010312211,0.196399511115747,2.01892206953117,3.09540478065958,3.42647318779559,2.85674867020512,0.327132155250224,4.06313392396165,4.92285806337887,5.76472221268483,4.62729929561653,0.0737006713257213,0.609297652133225,0.871290947377105,0.991056927753248,0.849816736567124,,101.988307748254,86.8826435450839,91.5032957386623,90.3801546385509,,4.64496508016226,5.18585070343379,6.30494785650614,5.22451820990436,,0.0445325041204847,0.0468965391601725,0.0441144206029296,0.0360843313413932,25.633180579713,211.914443423467,303.036021108699,344.690770611864,295.567265212754
Argentina_2000_BOO61_FI5b2p,21.1,82.1871153028405,37.8516387345345,39.0950817931034,29.8298717871933,40.1035855859144,92.0290223924548,71.7994136713198,71.7951614482711,70.5938897534562,69.4980330614565,127.801046795645,106.684569395786,109.315800335873,109.712208331323,110.774234999449,0.0656620263902346,0.119881282197725,0.181037859624812,0.257544540252431,0.161868244484702,0.0697595927054946,0.41902103338756,0.827893679898461,0.92060806566659,0.784503494348274,0.0994426930530437,1.16062022688496,1.31585892435018,1.45093078955541,1.25981310309268,0.113942415958732,0.584559336325169,0.905632728135607,0.996040652500458,0.826672434466009,,118.351192459877,89.3646203683816,90.4247998663604,89.3924048082198,,1.57436169476374,1.44600228414994,1.64892875704909,1.36124320079588,,0.0401359236339624,0.060310813816859,0.0381752596034473,0.0473165188519843,10.7369360350184,55.083755684708,85.3389020356829,93.8581535610829,77.8983750352391
