ID_genome_file,OptTemperature,q25total_12C,q25total_15C,q25total_18C,q25total_22C,q25total_25C,q50total_12C,q50total_15C,q50total_18C,q50total_22C,q50total_25C,q75total_12C,q75total_15C,q75total_18C,q75total_22C,q75total_25C,day2_12C,day2_15C,day2_18C,day2_22C,day2_25C,day4_12C,day4_15C,day4_18C,day4_22C,day4_25C,day6_12C,day6_15C,day6_18C,day6_22C,day6_25C,Tempsens12C,Tempsens15C,Tempsens18C,Tempsens22C,Tempsens25C,inflection_12C,inflection_15C,inflection_18C,inflection_22C,inflection_25C,asymptote_12C,asymptote_15C,asymptote_18C,asymptote_22C,asymptote_25C,growthrate_12C,growthrate_15C,growthrate_18C,growthrate_22C,growthrate_25C,eAUC12C,eAUC15C,eAUC18C,eAUC22C,eAUC25C
Missouri_1994_ST94MO23a_1,19.6,6.69107072385838,34.2840253774714,39.8950337576272,35.291278592992,35.4632969462474,71.1250119403487,68.2128767525593,63.8092199954664,,70.6336783216701,108.064582430572,116.5590647809,109.461378467884,,,0.266270618281332,1.26090860991461,1.38732913100263,2.29851583753887,1.44322483627264,0.443096290874847,3.01723921347388,3.15874994317224,2.98060425914816,2.04620061354379,0.61900008910338,4.088738782236,3.56224824159415,2.89660301702465,2.02199993313213,0.150317560395798,0.85899782620365,0.863524950226479,0.91424727011066,0.627826175756654,,75.4600583052908,61.174110028655,30.173821907343,34.299259584029,,4.42311746888863,3.73661059698738,2.8541487435248,2.05362155038896,,0.0372641438626847,0.0461245783884825,,0.0686372266032595,53.6367445519925,306.51007675674,308.125458180762,326.224342353368,224.02274307437
Missouri_1994_ST94MO24a_1,20.3,32.9262986030056,33.1208802284575,32.9732214068277,33.4740980315856,35.3886565166442,63.3580709751949,69.746706274699,72.4715658242112,,63.9400849077243,108.415878699124,,,,108.465976524976,0.0882458079832045,0.399543920319431,0.527780012098792,0.628514994594954,0.376307193005317,0.13446602189361,0.677572264348338,0.6898807237277,0.695365889447806,0.610998447096515,0.188552304320827,0.639431342148284,0.68314130298643,0.702331666563575,0.734931397103389,0.188775759341036,0.801846370123753,0.867298180123718,0.958447338755997,0.763309046420228,272.48842854633,,34.0552573794293,,48.3260423262109,0.845227091251788,0.691915694536814,0.696522917606743,0.701587849533574,0.725755968812169,0.0094810034429492,0.0581343672199297,,0.0834864167785776,0.0406800939874517,16.7628322602112,71.2020242840675,77.013987197031,85.1078127080278,67.7800028589934
Missouri_1994_ST94MO29a_1,19.7,17.6933880772269,38.0382310549058,13.367293816924,17.3521989708117,39.5470250962684,88.2529809473732,64.8112665758551,58.3652804395433,62.4240050204733,68.6822612965287,106.729767914954,,,117.069750891033,102.222766767747,0.361854827250256,,,2.90254089367512,3.04281410050553,0.568849212044915,6.04261037158506,3.63116086737669,3.42385689060708,4.09472688123625,0.971906275421805,5.6198022273473,8.741273412669,4.25875294276575,5.15223490175745,0.133162112734861,0.910634655595108,1.01724227094968,0.666523788487798,0.771891046759959,,52.2054221899528,156.725449787767,57.9940710883855,41.1413539626975,,5.97200077988947,19.4942883572252,5.05123602361136,4.81761596137738,,,,0.0229856852746831,0.0456793576404152,82.9623749638872,567.341657480429,633.76010622239,415.256226618874,480.901910741482
Missouri_1994_ST94MO33a_1,19.9,21.3302812789944,32.8625375190668,31.669083009834,31.7705486990522,33.9219344336993,17.649239095339,63.8773410053958,64.6106954673633,66.2697413117191,,56.2600033571593,104.389843983986,115.860251659596,108.027905586198,111.919639449984,0.0716494601356731,0.170260242543825,0.348299890621289,0.625949999132639,0.42017378670519,0.0735494589052737,0.720786153208256,1.69699258005697,1.60536845781647,0.929198289608216,0.153545135435872,2.13619754142556,2.89006621910994,2.01161994986041,1.42298376711735,0.0727295776216757,0.522339178860025,1.01557417850288,0.936077238401885,0.589577313834276,,193.617724491926,91.1321750794684,60.0042825471754,83.5114044051471,,10.2673801481364,3.10851806254263,1.88994226064043,1.58038362305763,,0.0270267327998273,0.0498011017144125,0.059062012854796,0.0320263936200773,12.2261894687138,87.8077114773696,170.722871381134,157.359055948112,99.11076320131
Missouri_1994_ST94MO7a_1,23.5,25.7976864651503,32.3242905186738,28.2627766973239,28.272337536428,32.1314372708317,78.9042360351687,70.3508772336902,70.4849858621303,68.7519206507302,69.763094044599,139.580425153605,103.448702331167,107.79766006296,113.901343228026,108.500749141323,0.165987280342158,0.163792802821335,0.452418741324188,0.520931607568411,0.468758522383137,0.266468303000736,0.776476530707644,1.66391289493699,1.99356246522954,1.97152860736932,0.278743154097775,1.55746338435269,3.9099671184579,3.36425951167256,3.81751952989427,0.152689201554582,0.382235337980153,0.898825676261172,0.966787417463968,0.980387674167983,44.3332010371085,112.770335477174,129.791593370799,91.8626661717274,105.984226714681,0.374398708872716,2.05978193221635,6.35957087228742,3.70082392126339,4.71306084160092,0.0146670475767504,0.03407948232461,0.0312123989423858,0.0477312881467527,0.0360214917810661,32.3214663353185,80.9121174445219,190.264691548671,204.650929134638,207.529850726571
Missouri_1994_ST94MO8a_1,19.3,111.145981522195,38.5362848892095,5.60704322919759,32.4739016137708,29.8494473651883,78.8186331771195,61.0225105053501,62.0443617749966,60.5426115215104,65.2005921138739,12.0375636270323,106.896473718587,108.820500909933,109.291154900722,108.821247875904,0.17756193600363,0.27059886864428,0.723636259854329,0.756145877347818,0.466930444678663,0.159208622602272,1.36379973324605,4.47593639390544,2.65568903223783,1.45559093638342,0.265020276552175,5.10837413063766,8.43912513681267,5.68191984042585,3.07487061910539,0.0714596506247145,0.479045036788355,1.16894781074485,0.765713062038838,0.429267050801341,,160.735660431037,98.0155825903628,115.964457101187,124.994289698418,,14.4004452589981,9.26304688592095,7.83515803437774,4.82716094316897,,0.0354681263818594,0.0468110016565874,0.0339338360005846,0.0290847175922688,27.6598287616657,185.423572195707,452.463676968275,296.383931231256,166.156047705107
Missouri_1994_ST94Mo31a_1,19.4,35.0660343366235,34.4922010235037,36.5151992907809,39.3992030718465,40.3801484800694,74.8430077930888,72.4579537649655,74.2627650920232,70.0242921204061,70.6723741286631,99.3146150427484,101.48384819355,99.3045384549118,106.181386685992,105.237619397863,0.0884369161779066,0.179100722800957,0.422886204117442,0.228794676809183,0.342287631785719,0.159831758780281,0.751728187562978,1.25468780779459,0.690629792261981,0.664190452377875,0.25105263636767,1.40221994106723,1.87246912710779,1.29671518123649,1.11571578915214,0.261919408475407,0.707010214708339,1.17372404786445,0.671404821041694,0.6785765471111,,99.6103603865363,84.9626444392314,116.61829451868,121.412553092791,,1.62503925302425,2.12172466503617,1.87729678263719,1.77304681626748,,0.040877815871316,0.0396927142211126,0.0278961936853332,0.0206348274333237,29.1355298134424,78.646776536903,130.563336975923,74.6860849076254,75.4838571686629
ST90ORE_a12_3B_11,21.8,46.318202653899,10.1110504143154,2.16224018255954,27.3542283929404,6.34442483477583,73.4755517053868,71.3016197137397,68.0312263022608,69.743244621683,71.1329246439976,,103.604613997544,104.605581339418,100.251394848382,106.285536446451,0.053519423814788,0.200583101402504,0.245393999386881,0.366279878750129,0.368173469855378,0.0941121686870411,0.670348275797944,1.3194153026773,1.49651048439425,1.35907135819965,0.142014070421208,1.88139758515665,2.88307678070479,2.91305268976026,2.3209636539828,0.179508197591338,0.543722115626063,0.891248362688396,1.02171769169068,0.898354359362646,,187.809613913728,114.538787177418,109.856005622441,100.649503095811,,7.52145734231747,3.8200508927579,3.85007390179567,2.90243416017528,,0.0249973417898232,0.0369445064420367,0.0327924574926648,0.0313799563908658,28.910012956183,87.5671062281959,143.536629848829,164.548873537151,144.681059232421
ST90ORE_a12_3B_15,19.0,10.5440151050062,10.2233265170491,33.6476540746505,43.2378824122311,41.9601555770561,70.341266981591,70.6810935285823,71.0796635127247,73.0683629873957,74.3977409881533,141.234828196247,112.492465209547,105.631444114716,94.2568482099235,99.334981789316,0.189819479531352,0.159994399695589,0.625637022873695,0.456886560334539,0.349751031902957,0.327014898498925,1.78490038523919,2.62564806263661,1.23615169945282,1.29623712854515,0.353383282359465,3.31308433553575,4.44510383024009,2.82357777022214,1.85037033513626,0.261810121746531,0.743669584562735,1.15096263971154,0.657966295542165,0.551321146562416,135.071517502826,94.0994723156914,92.4919930972733,113.524485181987,83.9705707435804,0.74561802656092,3.39155863390988,4.9232021391197,3.81571225094561,2.04746713730087,0.009594856855542,0.0621261132961806,0.044246528692162,0.0356620930874895,0.0417559850718302,61.0443216847755,173.395913971506,268.361410769791,153.413114568968,128.54745721007
ST90ORE_a12_3B_17,18.7,65.0656265543849,23.6918261914938,39.5134118134005,38.9874053962092,40.3207185653577,90.969653776357,72.5626000681615,71.7030583707423,72.6060734924517,71.5670428129463,102.977068778044,109.571356089213,107.130641532367,110.23068395356,107.278165313863,0.0740923277317295,0.185326032114185,0.294333040501863,0.2526077338492209,0.263378489618672,0.168096632813884,0.970661186812025,1.87282073574738,1.13168516294663,0.544489587873585,0.389983133230541,3.38271789606239,4.31790116891856,2.39144076665452,0.798047793685567,0.214032505660917,0.708161695118302,1.11788030248866,0.680749929903396,0.338278443375269,,168.661662503749,112.877947473868,109.067750823181,139.79747914497,,10.966061600408,5.44777603320689,2.98903192429476,1.5562017259557,,0.032317076968786,0.0408861050897518,0.0385688919445137,0.0158901552453716,38.7450011850425,128.194199436364,202.363064016438,123.232014498819,61.2364867148421
