ID_genome_file,Radius0C_08dpi,Radius0C_12dpi,Radius0C_15dpi,Radius0C_19dpi,Radius18C_08dpi,Radius18C_12dpi,Radius18C_15dpi,Radius18C_19dpi,Radius30C_08dpi,Radius30C_12dpi,Radius30C_15dpi,Radius30C_19dpi
ST01AUS_1A4,0.897563750994736,2.37613434061383,3.46073089584854,4.55073217523313,0.820360731351292,2.11526097337384,3.13802980989635,4.37862446739589,0.445002169137255,2.28403388540186,3.08166687975383,4.3511543158224
ST01AUS_1A5,0.403608495942458,1.09492580128117,1.74049082920762,2.47997080332123,0.397616336660862,1.08678917134735,1.85722545374282,2.84926691131345,0.408190950556575,1.15235274210467,1.71050939060335,2.19501058762514
ST01AUS_1A6,0.425841089873878,1.13952592323328,1.65318025326841,2.82769449154851,0.392627621181679,1.09763467955758,1.6961913520143,2.52718981909896,0.331095499750911,0.948540687008281,1.603115363973,2.49077411172578
ST01AUS_1B1,0.377469499908859,NA,1.59649007853861,2.46174447453416,0.37282613659762,NA,1.49322342634141,2.21864862217236,0.399531397059179,NA,1.60097892335669,2.31033591339051
ST01AUS_1B7,0.426514324463846,0.93651148181267,1.44135817053545,2.27208934107316,0.397180145575318,0.911018087280846,1.36535667134999,2.117727870747,0.457554300800622,0.960947081098936,1.31248383752018,2.15784378910413
ST01AUS_1B8,0.421686834924699,1.10791333276714,2.02615784452974,3.67589748524987,0.396918493888173,1.15495787808343,2.36648986883376,4.46718316063228,NA,NA,NA,NA
ST01AUS_1C1,0.511813485332671,1.39856629188111,1.95377084138455,2.74323226350772,0.507748588493387,1.41276660625165,1.96850703065582,2.65040234085441,0.508172258194004,1.49920864226036,2.11128625587453,3.01479427185859
ST01AUS_1C2,0.432323669510031,1.05330647422659,1.58398436807533,2.40599204565226,0.455818716937544,1.13058285879925,1.79962905117988,2.87985304701864,0.531711177441918,1.2400597130653,1.88688028131275,2.9622941217264
ST01AUS_1C3,0.717025344819045,NA,3.13822642664729,4.68639815248893,0.553096865467469,NA,2.59229238832869,3.32450415996152,0.868683663308447,NA,3.34896038948542,4.6209067842135
ST01AUS_1C6,0.729865086060395,1.92209303255426,2.57273332214196,3.29069614945446,0.720628383420743,1.89192717818051,2.44286665880594,3.25012769536255,0.721495470175766,1.88642981326241,2.39530867218504,3.1797654688369
ST01AUS_1C8,0.417647036302518,1.22964239572071,1.80042027663922,2.70593555178689,0.446326833745602,1.1632654471494,1.77147751241683,2.58390799114111,0.42984110364243,1.29907078230194,2.04796274179557,2.73302064101298
ST01AUS_1D4,0.448566583213424,1.39785776437995,2.12700148792811,3.16089295878018,0.52861469304856,1.45714161081104,2.26533908224642,3.28490492414094,0.575847060318293,1.45501644305046,2.19545438833151,3.11008945856315
ST01AUS_1D5,0.461288050396524,1.18534083500155,1.87377050977269,3.02972776219685,0.444610064335612,1.17582125544819,1.8058967948129,2.84255969927983,0.489712017020023,1.17798546793666,1.81973429878915,2.84678104165797
ST01AUS_1D8,0.376862210870446,1.04583854548509,1.53976205347455,2.16579637400456,0.395417866426773,0.99948735691543,1.54732387270205,2.3647424754162,0.440142097790816,1.08223449941637,1.85024200348485,2.99409224403967
ST01AUS_1E1,0.506418195831276,1.29410749164755,2.13544815264148,3.18887291902695,0.549676644671644,1.34190148114512,2.09583270941709,3.08090499179608,0.398140385507897,0.804712178004235,1.39782399538573,2.26906685940971
ST01AUS_1E4,0.680383044652969,1.50392570611152,1.97213762359512,2.47407043340235,0.733707916719196,1.60326589037205,2.0739103847802,2.67440077706196,0.662173759672695,1.71944069388932,2.41038544219273,3.71313721412933
ST01AUS_1E5,0.696150515290338,2.11656985226579,2.962580580441,4.05842651013493,0.686480303319285,2.22817647772549,3.15140185825347,4.23917525159687,0.767526393133487,2.27693227421696,3.1047043166639,4.1564688059195
ST01AUS_1F2,0.660476666090825,1.64231101327706,2.31248571771096,3.41523658946545,0.613613615340278,1.65989111841259,2.36057593504346,3.67937802309455,0.615931619129894,1.62573655150899,2.40353002595417,3.64236599784579
ST01AUS_1F3,0.509775812951256,1.17295053325614,1.56861968687765,2.20370516441059,0.51320050560696,1.20103860520257,1.6659862454718,2.46870219508386,0.510154557791845,1.10522045132873,1.57455199294008,2.27850455649161
ST01AUS_1F8,0.402090269143891,0.975331718168146,1.35864665887291,1.90256386261928,0.427282672257783,0.986326103121353,1.42792732237363,2.11430992449401,0.373368028238621,0.891909641296005,1.30840559935144,1.86342361099792
ST01AUS_1G2,0.440615276413568,1.358269587112,1.98264003711096,2.89076363834975,0.468439534775041,1.60777756098349,2.37502674407346,3.53313092027028,0.468925002292631,1.47163797342884,2.08574665684391,3.1512228226738
ST01AUS_1G5,0.502309340609867,1.21936848200874,2.11901833280557,3.42181379291795,0.537702650894792,1.34936177078027,2.18349952446439,2.9191038868365,0.546287810734754,1.26530474869923,2.03718177075073,3.26188363091168
ST01AUS_1H2,0.727145322623871,2.11825458316827,2.89315058227281,4.13226046355536,0.862802915485887,2.23927821175737,3.05008164413364,4.07185768858062,0.819338483144552,2.52946162307012,4.03686026934071,5.81971814254929
ST01AUS_1H6,0.435211814586927,1.120277942355,1.56379840019764,2.21565527208736,0.39278376182108,1.0723106490962,1.6373729801074,2.67764504142893,0.446614350725621,1.20128600942778,1.65374801468473,2.3992083222434
ST01AUS_1H8,0.48982331269726,1.11045628175583,1.68881967396859,2.49519384907538,0.428868017595102,1.03569397728576,1.57118025419031,2.37265547217217,0.384230391119634,1.08341915740122,1.81775313200644,2.78138887816815
ST92ISR_Ar_11g,0.377216825311424,1.13253884036164,1.88156942714838,2.78419888092477,0.533569521084336,1.22449873351506,1.80611090172444,2.67040421656307,0.374362410161801,1.03385417106001,1.72048905757842,2.45090073292484
ST92ISR_Ar_11i,0.598781527186104,1.58152219273466,2.2946295998415,2.71483851483147,0.665298077275959,1.60478005079129,2.08428976965617,2.54367335007258,0.62965367497739,1.55363722124764,2.21687928038063,2.81810528679478
ST92ISR_Ar_12d,0.541126967687599,1.29466405771104,1.76615120496999,2.34496812151988,0.5961478001803,1.32093198839718,1.80070114215666,2.30117106317938,0.533839166775725,1.2885037324587,1.77736503674893,2.33607827313725
ST92ISR_Ar_12f,0.683065274108778,1.61350891792914,2.31736125293167,3.30506869705642,0.639882141650854,1.57029260754409,2.408517634973,3.54337850817118,0.666014187186796,1.71100195438346,2.63000358495514,3.92041235978472
ST92ISR_Ar_15a,0.717689106129093,1.905854412145,2.59949123289339,3.38436158292299,0.646843580551784,1.95976479603456,2.93832580626395,4.06659299677096,0.504631594942419,2.39391318772158,3.4839057395565,4.78505892705863
ST92ISR_Ar_15c,0.535811064924874,1.86960456859065,2.34847583731543,2.48613946427662,0.674567705294526,2.72054413531646,4.17769968387225,4.52155884001706,0.537177974901369,2.26058222426428,3.50380391477952,4.22857212143489
ST92ISR_Ar_16a,0.529346969587108,1.36444063188683,2.3030421072052,3.8110915993538,0.600178444092457,1.46218706403836,2.53860623821755,4.63698389335841,NA,NA,NA,NA
ST92ISR_Ar_16h,0.796562252274815,2.42737830368745,3.33650950202257,4.14377581395031,0.761830225507602,2.29239928788224,3.08787060718367,3.8391491664911,0.785493434443467,2.32660494851053,3.20219101580201,4.03534909959336
ST92ISR_Ar_17d,0.56458711430533,1.9195025589438,3.41207676764572,5.48919694152237,0.687132032841436,1.99320116900785,3.44242165614923,5.67154638556114,0.677603189527713,2.07389324920573,3.84151370462398,NA
ST92ISR_Ar_17e,0.676952413669037,2.36765908254441,3.62051752025005,5.06905105902488,0.783613878365929,2.22572537884656,3.09473912302003,3.99204090773461,NA,NA,NA,NA
ST92ISR_Ar_17i,0.461777280285366,NA,2.33298492552248,3.59572634317639,0.663412316372604,NA,3.60538286242907,4.87693993560845,0.471435597126675,NA,3.10898596359513,4.70741722989087
ST92ISR_Ar_18b,0.665087891850076,1.49054035725755,2.21230778838122,3.29967205597496,0.67296689065711,1.43968013833972,2.13946966318081,3.22324661528153,0.66809546514962,1.37450600006775,1.94691775088481,2.8593866725481
ST92ISR_Ar_19e,0.611089897802707,1.3517207542143,1.98791253229997,2.92443991304576,0.62145406353981,1.35766720662837,1.82538655143037,2.32724085605448,0.631066303618222,1.42216058451971,2.02494590803736,2.77796098380154
ST92ISR_Ar_1b,0.621950912815244,1.44593960474024,2.22495806573704,3.09883721417369,0.587907373046991,1.58961496541412,2.14225871945157,2.74659011049006,0.686458353831618,1.62772053487142,2.28809555375989,3.13459931841536
ST92ISR_Ar_1c,0.648946429964721,1.4074721122227,1.92391375700289,2.50226737019424,0.652194794321714,1.55972123530534,2.32491722561725,3.37813001154262,NA,NA,NA,NA
ST92ISR_Ar_1j,0.790207611404015,2.1962953138052,2.92117967214115,3.83407993333571,0.863488157805306,2.27935532775261,3.20680565808975,4.70660640365715,0.965914192410805,2.62175190092455,3.49085309006045,4.42001515013266
ST92ISR_Ar_21a,0.523611003526853,1.29469181093219,1.96032825019574,2.8220369539406,0.717152138537221,1.7823293572974,2.58193961070711,3.79439711548945,NA,NA,NA,NA
ST92ISR_Ar_22f,0.350232574450339,0.931619712239082,1.44204058765702,2.1892963292644,0.364708816963525,0.889272321555256,1.37864019637162,2.07894967888447,0.372023826146806,0.896007511734478,1.37976889691334,2.0343636079784
ST92ISR_Ar_2f,0.633487646861148,1.92481509150965,2.79122739880522,2.6573133641826,0.616464179680722,1.94275536695496,2.95053167724309,3.7433396536135,0.555828228676902,1.91019976930574,2.96059840201564,4.01602985378233
ST92ISR_Ar_4b,0.513951152483102,NA,1.87490466029232,2.80427478487052,0.49615394849085,NA,1.97842220581256,3.22059489941072,0.56244629986787,NA,2.02791351121389,2.88421756325699
ST92ISR_Ar_4e,0.739331520112237,1.64421606981941,2.25262918508383,3.10162952491241,0.813428464322567,1.69208171293928,2.37190603538729,3.14583293950959,0.82703721171832,1.72089603032678,2.47500943721534,3.34639933329711
ST92ISR_Ar_4f,0.539942977065018,1.62629411976948,2.28190839748589,3.00629311977514,0.551732333120032,1.85618607401898,2.45745551072055,3.35755393662678,0.556926890610379,1.59370048643585,2.29426330641051,3.2995007788615
ST92ISR_Ar_5a,0.397179975994609,0.897004803682393,1.33433398591762,2.15387612190407,0.382039931307309,1.03449303532546,1.63264015848722,2.53613866169335,NA,NA,NA,NA
ST92ISR_Ar_5g,0.942101382430666,2.43658269394284,3.17548900865199,3.89933550057112,0.975149344798444,2.38316444668168,3.15453393992769,4.0015643760633,0.961853547041188,2.75143319801388,3.69184423260347,4.64383374217224
ST90ORE_a12_3B_11,0.543976993241517,1.22452270519718,1.6413275642057,2.09241728221476,0.563449970703275,1.37047860188724,1.78683265855109,2.23302069878818,0.519906340477742,1.21969748231727,1.63222004315237,2.06047987306733
ST90ORE_a12_3B_15,0.732403849558205,2.24081500372149,3.30289479761313,4.2797280769668,0.706414225680093,1.76348201855355,2.39353556720621,3.11562204897363,0.776684014680204,1.94020156533211,2.78654202448637,3.64837322323019
ST90ORE_a12_3B_17,0.61038210724021,1.36696639125918,2.21015212591753,3.34778133299509,0.686751535802469,1.52395060399576,2.41480800598786,3.73110018872542,NA,NA,NA,NA
ST90ORE_a12_3B_18,0.513120883954228,NA,2.71271556926956,3.92739032790292,0.510517436165693,NA,3.00492456488923,4.30160660858831,0.491233693252194,NA,2.60652116180132,3.91736609688928
ST90ORE_a12_3B_19,0.420288799394186,1.09093507396488,1.84627629397623,2.92199742876233,0.449951113584503,1.19932179078599,1.94422671845798,2.96949748266309,NA,NA,NA,NA
ST90ORE_a12_3B_2,0.557438699860336,1.77056451494897,2.46451255670655,3.05036795756753,0.607696600143732,1.71240412388514,2.27476564982912,2.95117431229676,0.644424976902369,1.78417814591397,2.12203424884514,2.65154789901839
ST90ORE_a12_3B_21,0.520424007053082,1.40134020185132,1.95077962192738,2.6944363797709,0.503388924027571,1.28795192046939,1.73595033963643,2.36743601637778,0.490178526690226,1.32009602368134,1.90928302193521,2.93148937115653
ST90ORE_a12_3B_3,0.507517082984628,1.33892375632341,1.98110407931591,2.79267632684134,0.470715610745664,1.34011610037374,2.0964528777408,3.21691248333758,0.452729274162277,1.21703600407895,1.85050818435415,2.92290739113725
ST90ORE_a12_3B_4,0.593673887143347,1.34246529716407,1.89690584801709,2.65055862397649,0.689290384311856,1.55029984750675,2.25867895301429,3.22681305928059,NA,NA,NA,NA
