ID_genome_file,sporesperml_0C,sporesperml_18C,sporesperml_30C,compspores_0C,compspores_30C
ST99CH_3A10,57192.625,198733.625,89992.625,0.28778534583667,0.452830390428394
ST92ISR_Ar_11i,376497.625,478085.5,344971.625,0.787511072810198,0.721568893011815
ST01AUS_1D4,235322.75,397467.25,339346.875,0.592055697670689,0.853773172506666
ST90ORE_a15_2A_11,521402.125,491209.75,476210.75,1.0614653414351,0.969465182643463
ST90ORE_a12_4A_6,74404.75,219357,95617.25,0.339194782933756,0.435897874241533
ST01AUS_1G5,151882.5,262478.25,103116.5,0.578647945115452,0.392857312939263
ST99CH_3F3,110703.375,258728.625,161236.75,0.427874476587196,0.62318867887154
ST90ORE_a12_3B_5,74675.5,224981.375,108741,0.331918586594112,0.483333342593359
ST92ISR_Ar_18b,305727.125,262478.5,364233.375,1.16477016212756,1.38766937101515
ST90ORE_a15_4A_19,158386.5,288726.25,240223,0.548569795784069,0.832009559227815
ST92ISR_Ar_1b,297081.5,609708,310899.13,0.48725209444521,0.509914795279052
ST99CH_3D1,162358.5,245264.75,126086.88,0.661972419599637,0.5140848002006
ST90ORE_a12_4A_5,158904,576890.88,167540,0.275448972256244,0.290418874363207
ST90ORE_a15_2A_8,234901.75,507802,202084.25,0.462585318687205,0.397958751639419
ST01AUS_1A5,713341.13,1224597.4,683978.38,0.582510733731755,0.558533261625413
ST90ORE_a12_3B_15,212447.88,454258.25,354079.5,0.467680840138842,0.779467406480785
ST01AUS_1E4,607980.75,614889.75,528528.88,0.988763839371204,0.859550643021778
ST99CH_3H3,405896.13,284990.88,317808,1.42424252312916,1.11515147432086
ST92ISR_Ar_16h,430077.25,259082.63,233174.25,1.66000032499284,0.899999548406622
ST90ORE_a15_4A_3,295354.25,264264.38,222811.13,1.11764684290785,0.843137202221503
ST99CH_3G2,62615.25,71823.375,79189.875,0.871794871794872,1.1025641025641
ST99CH_3A2,93922.875,195212.5,68140.125,0.481131459307165,0.349056156752257
ST90ORE_a15_4A_4,134438.625,206262.5,101289.375,0.651784134294891,0.491070238167384
ST90ORE_a12_4A_10,265194.625,432782.88,300185.5,0.612765978635754,0.693616854714771
