ID_genome_file,Mean_grey0C_08dpi,Mean_grey0C_12dpi,Mean_grey0C_15dpi,Mean_grey0C_19dpi,Mean_grey18C_08dpi,Mean_grey18C_12dpi,Mean_grey18C_15dpi,Mean_grey18C_19dpi,Mean_grey30C_08dpi,Mean_grey30C_12dpi,Mean_grey30C_15dpi,Mean_grey30C_19dpi
ST01AUS_1A4,114.877973665224,90.8914810606061,91.0657916666667,84.5544718614719,117.353324603175,94.7655735492578,92.7034623015873,86.9815095238095,105.206166666667,89.8783079365079,90.9297375180375,87.9866031746032
ST01AUS_1A5,148.99174510139,150.758680555556,118.721155640203,93.1192103304285,148.975487179487,150.630336363636,122.316487719298,106.54539702381,150.808888646315,153.420757142857,118.356259259259,92.6555576923077
ST01AUS_1A6,149.11105,136.323738888889,102.314923809524,84.8273166666667,147.312916666667,128.778416666667,96.5216666666667,73.33625,133.72925,129.564666666667,96.9148333333333,69.246
ST01AUS_1B1,147.461694444444,NA,114.773845238095,87.8746428571429,142.850628205128,NA,96.1379285714286,83.0167777777778,142.281766666667,NA,101.944766666667,84.4131453703704
ST01AUS_1B7,151.216458333333,145.008834656085,125.710676190476,91.7084761904762,151.649231481481,146.694851893939,124.4876875,90.4324270833333,147.82569047619,138.572824074074,121.001895502645,99.2394377104377
ST01AUS_1B8,162.231791666667,158.092888888889,152.178206349206,134.587645502646,160.545714285714,158.225074074074,154.100236111111,145.136583333333,NA,NA,NA,NA
ST01AUS_1C1,128.514517773191,116.353353874883,103.750301785714,96.6506242424242,138.544157936508,118.06565,106.50125,106.355707936508,122.892213675214,112.563062881563,105.430118253968,95.3033428571429
ST01AUS_1C2,138.452183501683,131.304245159933,110.998078703704,100.760571969697,136.5185,129.761833333333,109.30225,94.6093333333333,139.2935,129.5555,104.26625,95.84375
ST01AUS_1C3,124.28325,NA,98.9004666666667,90.2404166666667,121.48546031746,NA,95.979875,85.3792,120.735833333333,NA,100.292441666667,89.2290952380952
ST01AUS_1C6,129.503813492064,107.493468253968,94.2971388888889,85.8101871345029,124.586072222222,103.137342948718,89.7957948717949,75.1797606837607,123.500387429854,101.71255026455,92.0300442890443,90.1010833333333
