ID_genome_file,Std_grey0C_08dpi,Std_grey0C_12dpi,Std_grey0C_15dpi,Std_grey0C_19dpi,Std_grey18C_08dpi,Std_grey18C_12dpi,Std_grey18C_15dpi,Std_grey18C_19dpi,Std_grey30C_08dpi,Std_grey30C_12dpi,Std_grey30C_15dpi,Std_grey30C_19dpi
ST01AUS_1A4,15.0450429292929,20.0479136363636,23.3547666666667,22.4575438311688,14.1624849206349,19.0270285328706,23.9321974206349,23.051280952381,11.6311666666667,23.4412087301587,24.4936393939394,23.6400476190476
ST01AUS_1A5,6.46297453861928,7.17157592592593,19.5046548160029,19.2439880174292,7.81629853479853,8.03136060606061,22.4800777777778,24.1776970238095,7.2419581621955,7.28769464285714,21.2668518518519,18.0551730769231
ST01AUS_1A6,3.42443333333333,13.9853611111111,23.0838952380952,23.5028833333333,3.28930555555556,18.7592222222222,23.9373333333333,21.595875,4.347,18.8868333333333,28.5596666666667,19.0615
ST01AUS_1B1,3.79847222222222,NA,21.0228095238095,18.5901785714286,3.81651923076923,NA,18.1206666666667,16.7006111111111,3.89885555555556,NA,22.5895916666667,19.080212962963
ST01AUS_1B7,3.48164583333333,5.95604470899471,17.3257976190476,26.6136322751323,3.61824074074074,5.04497424242424,16.345625,24.6303020833333,4.31452380952381,5.99111481481482,14.3765634920635,21.0925124579125
ST01AUS_1B8,5.05155555555556,4.80638888888889,6.1322328042328,13.4911746031746,6.23767857142857,4.15965740740741,3.72794444444444,6.85242857142857,NA,NA,NA,NA
ST01AUS_1C1,8.13451639720216,16.2498001867414,18.2850438492063,20.1334707070707,5.63319444444444,15.78485,16.8284833333333,18.8542515873016,9.93939743589744,18.285315018315,18.7640682539683,20.3861404761905
ST01AUS_1C2,5.99613636363636,9.91095075757576,16.0821597222222,18.4849337121212,6.16075,11.0830833333333,17.86075,23.4334166666667,7.58025,12.561,23.7835,22.165
ST01AUS_1C3,8.56041666666667,NA,21.2610666666667,18.9041666666667,8.99092857142857,NA,22.100675,18.94,11.4863111111111,NA,22.4962416666667,20.3683047619048
ST01AUS_1C6,9.19940873015873,23.2937896825397,23.6517919191919,22.5284444444444,10.8015138888889,24.5523237179487,24.6290320512821,22.5971987179487,11.7271728395062,21.1652420634921,20.3700461538462,24.8128451851852
ST01AUS_1C8,3.91709343434343,7.1329360410831,16.4600033111452,17.6847095698183,4.31048148148148,7.59936904761905,18.2798091418386,17.6462,4.48934103535354,7.27950674276761,16.6059871572872,16.5223724064974
ST01AUS_1D4,4.34666666666667,10.9418333333333,21.8038333333333,19.847,4.37199848484848,10.9881,20.2271818181818,21.0141296296296,4.08907215007215,10.9323300865801,20.8949642857143,20.7953047619048
ST01AUS_1D5,5.87365,8.4293,18.2432666666667,22.3626,4.00330555555556,6.24198888888889,22.6371333333333,23.6777666666667,4.75157521645022,7.00101893939394,17.7926174242424,20.7668598484848
