ID_genome_file,ratio_0C,ratio_30C,ratio_18C,compratio_0C,compratio_30C
ST01AUS_1A4,0.186741468741469,0.331848719755697,0.449385456073981,0.445035463434454,0.90818645237672
ST01AUS_1A5,0.629407210401891,0.731299227088701,0.559977115736938,1.1809110772367,1.42622979695985
ST01AUS_1A6,0.0873143196672608,0.0561818181818182,0.199238095238095,0.500019388935798,0.274136363636364
ST01AUS_1B1,0.094,0.143425539977264,0.479230769230769,0.234921484653819,0.290509722254904
ST01AUS_1B7,0.271628028028028,0.167096171802054,0.468014260249554,0.594275243243301,0.387982760512659
ST01AUS_1B8,0.120607524520568,NA,0.200071684587814,0.795586347698815,NA
ST01AUS_1C1,0.351886576609468,0.161891534391534,0.460162601626016,1.26835931265146,0.649961996457983
ST01AUS_1C2,0.227438411509657,0.0385714285714286,0.0963636363636364,2.60978506014215,0.464285714285714
ST01AUS_1C3,0.0492307692307692,0.0873015873015873,0.361957671957672,0.232328771916014,0.6623199293931
ST01AUS_1C6,0.234443268665491,0.336610128315555,0.435978835978836,0.56292193598751,0.762341879859142
ST01AUS_1C8,0.474232987161693,0.619201213803447,0.687713208847537,0.724944253603076,0.955182264897585
ST01AUS_1D4,0.0293333333333333,0.14215873015873,0.333080543760903,0.107776959131538,0.479278230806828
ST01AUS_1D5,0.0752941176470588,0.178494623655914,0.183859649122807,0.468110321051498,1.01584347552089
ST01AUS_1D8,0.201666335723479,0.0257142857142857,0.352202547374961,0.591367769577938,0.0725244111294967
ST01AUS_1E1,0.218964959568733,0.038,0.975551966993828,0.234771883039334,0.0369860421186799
ST01AUS_1E4,0.587523104718227,0.173878205128205,1.05819457079468,0.551257690009762,0.164104650688403
ST01AUS_1E5,0.204940918620164,0.154046682402308,0.191111111111111,2.82928185308117,2.11565866601272
ST01AUS_1F2,0.150534188034188,0.126025062656642,0.321428571428571,0.50130743909914,0.406428836818462
ST01AUS_1F3,0.197305472305472,0.147679808841099,0.307940620782726,0.657824289139071,0.584977307053039
ST01AUS_1F8,0.105213675213675,0.0577142857142857,0.29031746031746,0.47578553654503,0.353422409751524
ST01AUS_1G2,0.471954745652203,0.152893305524884,0.286108517481066,2.28630934900939,0.748013285339646
ST01AUS_1G5,0.158062254025045,0.140591540964212,0.217283950617284,0.718375615584918,0.608199878754552
ST01AUS_1H2,0.168238244514107,0.0257142857142857,0.529121586248506,0.3144131530247,0.0499402708437253
ST01AUS_1H6,0.325295566502463,0.358491557223265,0.119353535353535,2.83097308064377,3.12023930491362
ST01AUS_1H8,0.04,0.03,0.226558704453441,0.219101486748546,0.104395604395604
ST92ISR_Ar_11g,0.111851851851852,0.0694444444444444,0.482227927835404,0.395038852738168,0.343242053335863
ST92ISR_Ar_11i,0.126222222222222,0.227083333333333,0.596572893476354,0.202687373220847,0.403575396977364
ST92ISR_Ar_12d,0.274707594104947,0.226666666666667,0.816511089571508,0.342398770935037,0.272769524148359
ST92ISR_Ar_12f,0.198290446613428,0.122222222222222,0.164656084656085,1.57956192027773,1.02833151183971
ST92ISR_Ar_15a,0.220682379349046,0.04,0.25071746031746,1.55774797641289,0.398755656108597
ST92ISR_Ar_15c,0.97581526404287,0.448043932711261,0.310829346092504,3.47685075461885,1.67670346041262
ST92ISR_Ar_16a,0.248659118659119,NA,0.151478696741855,1.76642294213723,NA
ST92ISR_Ar_16h,0.0666666666666667,0.15196405648267,0.257066666666667,0.260919017288444,0.588720876553146
ST92ISR_Ar_17d,0.307157142857143,0.451687318655061,0.471666666666667,0.829652235186835,1.06727595958549
ST92ISR_Ar_17e,0.175906192358366,NA,0.425207396301849,0.568231555050031,NA
ST92ISR_Ar_17i,0.333595679012346,0.177177427068388,0.92119436548008,0.333337486401955,0.222986812643653
ST92ISR_Ar_18b,0.168972582972583,0.246202889840483,0.617105263157895,0.325388098491547,0.485310359042377
ST92ISR_Ar_19e,0.03,0.156969696969697,0.603775984348251,0.0597163818171666,0.282140749400897
ST92ISR_Ar_1b,0.149244444444444,0.358810415316296,0.365243902439024,0.461080120696645,1.26491710060685
ST92ISR_Ar_1c,0.677106418761095,NA,0.227513227513228,3.03480429553669,NA
ST92ISR_Ar_1j,0.324812206960767,0.151407407407407,0.534983889937752,0.620308616204122,0.283026164988853
ST92ISR_Ar_21a,0.132677248677249,NA,0.0977777777777778,1.52619047619048,NA
ST92ISR_Ar_22f,0.16407662835249,0.302688612168031,0.82795916845006,0.200767955753694,0.367564546379301
ST92ISR_Ar_2f,0.715793015207417,0.409442542926068,1.14350744632341,0.628126614785205,0.370524415049153
ST92ISR_Ar_4b,0.214022682970051,0.167301587301587,0.673543553373341,0.328455831283266,0.27367408220337
ST92ISR_Ar_4e,0.138133333333333,0.141352657004831,0.734126902265954,0.179993791962241,0.194671527135053
ST92ISR_Ar_4f,0.255300546448087,0.207918257181415,0.399060428849903,0.901083789898055,0.842575993090352
ST92ISR_Ar_5a,0.0558095238095238,NA,0.205490196078431,0.405291005291005,NA
ST92ISR_Ar_5g,0.147363834422658,0.133895818048423,0.482180774748924,0.362879813302276,0.431404258799457
ST90ORE_a12_3B_11,0.286981889823445,0.278461538461538,0.554535809018568,0.524726865080209,0.504077817870126
ST90ORE_a12_3B_15,0.119477124183007,0.144582183908046,0.464560101552583,0.290756106670025,0.333309002479601
ST90ORE_a12_3B_17,0.0871428571428571,NA,0.33025641025641,0.251300618672666,NA
ST90ORE_a12_3B_18,0.140424242424242,0.0686580086580087,0.140363636363636,1.00369331768184,0.491925816889949
ST90ORE_a12_3B_19,0.105873015873016,NA,0.195789473684211,0.343877551020408,NA
ST90ORE_a12_3B_2,0.0988103254769921,0.165700483091787,0.276638176638177,0.352154520468932,0.655453970356335
ST90ORE_a12_3B_21,0.387348186637275,0.434758212545098,0.881753360607832,0.467140494441749,0.505216583476107
ST90ORE_a12_3B_3,0.227069930947897,0.0671428571428571,0.12,2.98418706842436,0.419642857142857
ST90ORE_a12_3B_4,0.268674667699058,NA,0.197894736842105,1.22694728560189,NA
ST90ORE_a12_3B_5,0.0713333333333333,0.142571428571429,0.331694247438928,0.244803290257134,0.488592499364673
ST90ORE_a12_3B_6,0.140368906455863,0.255195600191296,0.25638490164806,0.585191150408542,1.02988211460234
ST90ORE_a12_3B_7,0.151724137931034,0.0933333333333333,0.287536231884058,0.546059441328435,0.338967443892999
ST90ORE_a12_3B_8,0.134024907260201,0.417212121212121,0.551121872477805,0.240092641489296,0.760628269347829
ST90ORE_a12_3B_9,0.193926846100759,NA,0.394831332189823,0.504768731173165,NA
ST90ORE_a12_4A_1,0.50135919127954,0.283487764314564,1.06362341641088,0.484639566323795,0.27766080429134
ST90ORE_a12_4A_10,0.139091406677614,0.292275304061018,0.833788235294118,0.16900558275468,0.387876484835665
ST90ORE_a12_4A_11,0.193148278102664,0.284097073032111,0.886687338501292,0.216287809051437,0.318793535080596
ST90ORE_a12_4A_2,0.149704433497537,0.329728757306077,0.158304093567251,1.67890796811439,4.07141676692234
ST90ORE_a12_4A_4,0.338333333333333,0.297895199847007,0.262588235294118,1.78376983723505,1.25421784297902
ST90ORE_a12_4A_5,0.217066666666667,0.507506087081581,0.786546730344199,0.276568601661273,0.647442278936339
ST90ORE_a12_4A_6,0.08,0.205468409586057,0.222589807852966,0.417268445839874,0.990414182767124
ST90ORE_a12_4A_7,0.186729917773561,0.210232558139535,0.403555555555556,0.476767569024174,0.525345422483169
ST90ORE_a15_2A_11,0.0323809523809524,0.108533333333333,0.398988095238095,0.108820608317815,0.313966480446927
ST90ORE_a15_2A_13,0.08,0.185536926525844,0.28,0.474074074074074,1.37578541883742
